task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,DDR1,-0.0010524786452308088,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,PAX8,-0.00032869849735779914,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,RPS5,-0.0017746002587235889,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,ABCF1,0.0004894951909170508,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,SPAG7,0.0042526875439524775,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,RHOA,-0.0038300434910017588,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,RNPS1,-0.0032641413432830564,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,SMNDC1,-0.00048746755132525135,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,ATP6V0B,0.00415777071081839,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,RPS6,-0.000416040425006355,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,USP22,0.0031059523446978327,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,APP,0.0030609525342065857,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,CLTC,-0.0007017965781538497,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,MLEC,0.0019141103154462658,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,CSRP1,0.0047107840998472416,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,CALM3,-0.001469745539032022,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,PTPRF,0.0008831675364861044,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,DNAJB1,-0.001995360717084223,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,XBP1,-0.004174412512132425,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,GRN,0.008527891710711385,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,HK1,0.0017026846304954105,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,KDELR2,0.0003420502970651677,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,SKP1,0.0008753918953642993,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,CAPN1,9.091943644481749e-05,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,CALU,-6.194530295319744e-05,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,CTSD,0.0020759352777015515,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,MAT2A,-0.006679977931556062,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,STMN1,-0.007240097182532654,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,ECH1,0.008371376515506995,3.162277660168379,-1.7639402271063118,False
SR-p53,MCF7,standardized,0,0,0,2042,2042,c813560f976c845365f150851496e5e8ef6df0541be1b2b5eecbc3b201f678dd,IQGAP1,0.002486320520335053,3.162277660168379,-1.7639402271063118,False
