task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1126,117,978,0,False,True,True,False,unweighted_publication_primary,-1.9657701441106126,-1.9657701441106126,2.7333852442134398e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,1126,117,0.14407000234907213,0.14407000234907213,0.14407000234907213,0.0,0.5160714285714286,0.5160714285714286,0.5160714285714286,0.0,0.3683649877317397,0.1696708405343703,0.1696708414161627,8.817924168624813e-10,True,False,1,3,9.038505790169571e-10,0.1852654462800219,0.015998097020201385,0,0,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,977,266,978,0,False,True,True,False,unweighted_publication_primary,-1.9208475746885554,-1.9208475746885554,2.4878808938594096e-09,100000000.0,3.162277660168379,True,True,100.0,977,266,0.6113093587068795,0.6113093587068795,0.6113093587068795,0.0,0.8452380952380952,0.8452380952380952,0.8452380952380952,0.0,0.36436685016743614,0.15029902443838158,0.15029902421692995,-2.21451634807579e-10,True,False,1,3,7.372432317409583e-10,0.193058258144247,0.013932199915871024,0,1,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1004,239,978,0,False,True,True,False,unweighted_publication_primary,-1.990379441447736,-1.990379441447736,1.9666414301386865e-09,100000000.0,1.0,True,True,3.162277660168379,1004,239,0.36902485789850015,0.36902485789850015,0.36902485789850015,0.0,0.7769058295964125,0.7769058295964125,0.7769058295964125,0.0,0.3924756168751766,0.20395868521068955,0.20395868509471315,-1.1597639515414926e-10,True,False,1,3,5.80879311014651e-10,0.17898288702959167,0.009758145082741976,0,2,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1000,243,978,0,False,True,True,False,unweighted_publication_primary,-2.1553323315771635,-2.1553323315771635,2.419279649584109e-09,100000000.0,10.0,True,True,100.0,1000,243,0.7371796844129421,0.7371796844129421,0.7371796844129421,0.0,0.8165294924554184,0.8165294924554184,0.8165294924554184,0.0,0.37667576327903474,0.25039355565266747,0.25039355544591513,-2.0675233747269317e-10,True,False,1,3,5.430111863630183e-10,0.16852149142809025,0.01341325102839619,0,3,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,865,378,978,0,False,True,True,False,unweighted_publication_primary,-1.9197348920981245,-1.9197348920981245,2.7077364001954273e-09,100000000.0,100000000.0,True,False,,865,378,0.2646082501358133,0.2646082501358133,0.2646082501358133,0.0,0.6091160220994475,0.6091160220994475,0.6091160220994475,0.0,0.34626255715759335,0.16191881453979817,0.16191881441034967,-1.2944850746876568e-10,True,False,1,3,8.586058600212887e-10,0.193522960595651,0.013746446929872036,0,4,2042,19a40998fc60b687762af859dcecdfc773b0aaecaa7538c9aa5917717d62c386
NR-AR,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1122,121,978,0,False,True,True,False,unweighted_publication_primary,-1.940796609907937,-1.940796609907937,2.235627437768837e-09,100000000.0,100.0,True,True,316.2277660168379,1122,121,0.5251757650951199,0.5251757650951199,0.5251757650951199,0.0,0.7051282051282052,0.7051282051282052,0.7051282051282052,0.0,0.3542820664729496,0.1258235972610705,0.1258235968725424,-3.8852809858269666e-10,True,False,1,3,5.458313946226506e-10,0.1901019043266431,0.010365615016780794,1,0,3042,f869732cacb039e5b52558acb5c193206a4ae0a31e9336e50829e3249e6a78a7
NR-AR,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1029,214,978,0,False,True,True,False,unweighted_publication_primary,-2.0286720770267577,-2.0286720770267577,2.6452787467115156e-09,100000000.0,10.0,True,True,100.0,1029,214,0.5284412295878272,0.5284412295878272,0.5284412295878272,0.0,0.7014034040011944,0.7014034040011944,0.7014034040011944,0.0,0.3930476359712395,0.22158178203267231,0.22158178204833262,1.5660306385001377e-11,True,False,1,3,6.827047434321276e-10,0.17598062981414325,0.016196748008951545,1,1,3042,f869732cacb039e5b52558acb5c193206a4ae0a31e9336e50829e3249e6a78a7
NR-AR,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1006,237,978,0,False,True,True,False,unweighted_publication_primary,-2.1409184286626766,-2.1409184286626766,2.5237221088805063e-09,100000000.0,100000000.0,True,False,,1006,237,0.608335781857624,0.608335781857624,0.608335781857624,0.0,0.8030125195618154,0.8030125195618154,0.8030125195618154,0.0,0.3669876074809103,0.2506989258333377,0.250698925983431,1.500933266562754e-10,True,False,1,3,9.922935667594501e-10,0.16879021042628764,0.009219793952070177,1,2,3042,f869732cacb039e5b52558acb5c193206a4ae0a31e9336e50829e3249e6a78a7
NR-AR,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,986,257,978,0,False,True,True,False,unweighted_publication_primary,-1.9471535869652163,-1.9471535869652163,1.930795276901953e-09,100000000.0,100000000.0,True,False,,986,257,0.62711239811415,0.62711239811415,0.62711239811415,0.0,0.8770746887966805,0.8770746887966805,0.8770746887966805,0.0,0.3748441935813729,0.16506315055481885,0.165063150184965,-3.6985384199716975e-10,True,False,1,3,5.647673839009881e-10,0.18872078312506363,0.00862899306230247,1,3,3042,f869732cacb039e5b52558acb5c193206a4ae0a31e9336e50829e3249e6a78a7
NR-AR,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,829,414,978,0,False,True,True,False,unweighted_publication_primary,-1.8857649335170048,-1.8857649335170048,2.9466021944873214e-09,100000000.0,3.162277660168379,True,True,10.0,829,414,0.2571788417205195,0.2571788417205195,0.2571788417205195,0.0,0.6343161949918507,0.6343161949918507,0.6343161949918507,0.0,0.35253640183631346,0.16014263474347765,0.16014263464672224,-9.67554092401457e-11,True,False,1,3,7.746745588760318e-10,0.19602655064436356,0.013405790901742876,1,4,3042,f869732cacb039e5b52558acb5c193206a4ae0a31e9336e50829e3249e6a78a7
