task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,477,67,978,0,False,True,True,False,unweighted_publication_primary,-1.3147135430864756,-1.3147135430864756,4.3486172422230185e-09,100000000.0,10.0,True,True,316.2277660168379,477,67,0.23157248157248156,0.23157248157248156,0.23157248157248156,0.0,0.8096774193548387,0.8096774193548387,0.8096774193548387,0.0,0.2744928233073016,0.24108161025392955,0.24108161036342463,1.0949507966984129e-10,True,False,1,3,5.677670295717308e-10,0.1792245733519576,0.0043290379690006375,0,0,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,373,171,978,0,False,True,True,False,unweighted_publication_primary,-1.411714050591934,-1.411714050591934,3.809930350976541e-09,100000000.0,100000000.0,True,False,,373,171,0.41767207361985526,0.41767207361985526,0.41767207361985526,0.0,0.8485324947589099,0.8485324947589099,0.8485324947589099,0.0,0.25658765036399833,0.2214770246954007,0.22147702507717548,3.817747784573555e-10,True,False,1,3,7.208862708163455e-10,0.17167692926634048,0.0032106579747051,0,1,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,450,94,978,0,False,True,True,False,unweighted_publication_primary,-1.2214202649889743,-1.2214202649889743,4.622469285628538e-09,100000000.0,100000000.0,True,False,,450,94,0.17702702702702705,0.17702702702702705,0.17702702702702705,0.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.0,0.2296392734909062,0.16130079132219488,0.1613007912258868,-9.63080726279486e-11,True,False,1,3,1.2354849435181059e-09,0.19213358093486718,0.0037848559441044927,0,2,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,436,108,978,0,False,True,True,False,unweighted_publication_primary,-1.2019986518557972,-1.2019986518557972,4.347081925880015e-09,100000000.0,10.0,True,True,31.622776601683796,436,108,0.09839232662762074,0.09839232662762074,0.09839232662762074,0.0,0.6970873786407767,0.6970873786407767,0.6970873786407767,0.0,0.2592779215866126,0.1836469143865473,0.1836469140017457,-3.848015794893911e-10,True,False,1,3,1.1891974974198583e-09,0.18764929859329252,0.004505275981500745,0,3,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,440,104,978,0,False,True,True,False,unweighted_publication_primary,-1.18186799061608,-1.18186799061608,4.818459154458923e-09,100000000.0,100000000.0,True,False,,440,104,0.5379901960784313,0.5379901960784313,0.5379901960784313,0.0,0.9425,0.9425,0.9425,0.0,0.20811774817213455,0.12930523602428654,0.12930523628017368,2.5588714480662134e-10,True,False,1,3,9.844378923151709e-10,0.20054633267583713,0.0036181409377604723,0,4,2042,ed228dfad68fd093aefa1e8c53e61f110985228560966ac94f88adde0f00a2b8
SR-ATAD5,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,484,60,978,0,False,True,True,False,unweighted_publication_primary,-1.3099099902246576,-1.3099099902246576,4.230268746525194e-09,100000000.0,10.0,True,True,100.0,484,60,0.322977022977023,0.322977022977023,0.322977022977023,0.0,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.0,0.29827975634538567,0.2601212914043257,0.26012129133092704,-7.339867602595973e-11,True,False,1,3,6.099765449685268e-10,0.1777447866745226,0.0033869059989228845,1,0,3042,0cc34f5625b9e0185dd8a8c695f2f27670726d2855b68983c65171f1786c3da2
SR-ATAD5,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,440,104,978,0,False,True,True,False,unweighted_publication_primary,-1.246516019105628,-1.246516019105628,4.3256774254786864e-09,100000000.0,100000000.0,True,False,,440,104,0.15271929824561403,0.15271929824561403,0.15271929824561403,0.0,0.8040404040404041,0.8040404040404041,0.8040404040404041,0.0,0.2358156173544058,0.17698569002588638,0.17698568953556998,-4.903163985936487e-10,True,False,1,3,6.219712106458886e-10,0.18908533983744183,0.00334650999866426,1,1,3042,0cc34f5625b9e0185dd8a8c695f2f27670726d2855b68983c65171f1786c3da2
SR-ATAD5,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,434,110,978,0,False,True,True,False,unweighted_publication_primary,-1.2218064894962888,-1.2218064894962888,5.013965794744836e-09,100000000.0,10.0,True,True,100.0,434,110,0.16475648323845668,0.16475648323845668,0.16475648323845668,0.0,0.8076190476190477,0.8076190476190477,0.8076190476190477,0.0,0.23778873094137412,0.1711238128922994,0.1711238137662315,8.739321211148621e-10,True,False,1,3,9.645230829302687e-10,0.1907796043226935,0.002893131924793124,1,2,3042,0cc34f5625b9e0185dd8a8c695f2f27670726d2855b68983c65171f1786c3da2
SR-ATAD5,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,379,165,978,0,False,True,True,False,unweighted_publication_primary,-1.3088921059825818,-1.3088921059825818,4.018403542501873e-09,100000000.0,100000000.0,True,False,,379,165,0.38257528290423026,0.38257528290423026,0.38257528290423026,0.0,0.9129032258064516,0.9129032258064516,0.9129032258064516,0.0,0.24213291287352565,0.19084756288476765,0.19084756257144592,-3.1332172967246663e-10,True,False,1,3,5.763522506474494e-10,0.18507793368286568,0.002908164053224027,1,3,3042,0cc34f5625b9e0185dd8a8c695f2f27670726d2855b68983c65171f1786c3da2
SR-ATAD5,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,439,105,978,0,False,True,True,False,unweighted_publication_primary,-1.218199539068859,-1.218199539068859,4.145048290008344e-09,100000000.0,3.162277660168379,True,True,100.0,439,105,0.3852200972839058,0.3852200972839058,0.3852200972839058,0.0,0.8420000000000001,0.8420000000000001,0.8420000000000001,0.0,0.23780533152352415,0.16647028323222357,0.16647028256881746,-6.634061078258924e-10,True,False,1,3,4.54659261628354e-10,0.19167803913131468,0.0028124479576945305,1,4,3042,0cc34f5625b9e0185dd8a8c695f2f27670726d2855b68983c65171f1786c3da2
