task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-MMP,HA1E,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,569,44,978,0,False,True,True,False,unweighted_publication_primary,-1.1009812397459617,-1.1009812397459617,0.012227299173054621,100.0,1.0,False,False,10000.0,569,44,0.6038750862663905,0.6038750862663905,0.6885714285714285,0.08469634230503797,0.8500000000000001,0.8500000000000001,0.8705882352941177,0.020588235294117574,0.45287965883801834,0.41592093149651443,0.389421726411215,-0.02649920508529946,True,False,5,7,2.8356716991195796e-07,0.35766874439652546,0.0097317110048607,0,0,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,470,143,978,0,False,True,True,False,unweighted_publication_primary,-0.9832661241321161,-0.9832661241321161,0.028198954861404533,31.622776601683796,3.162277660168379,False,False,10000.0,470,143,0.4518020754144888,0.4518020754144888,0.5806729205711307,0.12887084515664193,0.8028455284552846,0.8028455284552846,0.8731707317073172,0.07032520325203262,0.466229589674818,0.3443425583685394,0.30383069939196133,-0.04051185897657805,True,False,6,8,8.958079363574623e-07,0.3589608313217923,0.007111507002264261,0,1,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,502,111,978,0,False,True,True,False,unweighted_publication_primary,-1.074626113272743,-1.074626113272743,0.12267043993598627,3.162277660168379,1.0,False,False,31622.776601683796,502,111,0.5467671253828736,0.5467671253828736,0.6276824530788767,0.08091532769600307,0.7518518518518519,0.7518518518518519,0.8074074074074075,0.05555555555555558,0.4919691906064815,0.4068162765149659,0.35806072138999806,-0.04875555512496782,True,False,12,14,7.539736351647175e-07,0.2963415398800102,0.015451854094862938,0,2,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,495,118,978,0,False,True,True,False,unweighted_publication_primary,-1.0947629754336543,-1.0947629754336543,0.0609726957591021,10.0,1.0,False,False,10000.0,495,118,0.7023401646048403,0.7023401646048403,0.8398455160936058,0.13750535148876553,0.8567505720823798,0.8567505720823798,0.9418764302059497,0.08512585812356988,0.43223240907771515,0.3567827171685663,0.28595479684532166,-0.07082792032324464,True,False,9,11,3.3808300470977715e-07,0.3375180593826352,0.008661209023557603,0,3,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,416,197,978,0,False,True,True,False,unweighted_publication_primary,-1.1123203269003383,-1.1123203269003383,0.1328528223698836,3.162277660168379,1.0,False,False,31622.776601683796,416,197,0.6212121862241534,0.6212121862241534,0.6095941423873459,-0.011618043836807534,0.8363175675675676,0.8363175675675676,0.8381756756756757,0.0018581081081081585,0.4438875823312761,0.37020097376411026,0.36104048305351777,-0.009160490710592495,True,False,13,15,4.297693420741294e-07,0.28384533230498593,0.011804147041402757,0,4,2042,d5fd0a20c6df5a3df8512c6517fb768e39944801d4c3d6c048a0175411b8a2dc
SR-MMP,HA1E,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,565,48,978,0,False,True,True,False,unweighted_publication_primary,-1.0728871318046178,-1.0728871318046178,0.0291633881779669,31.622776601683796,1.0,False,False,10000.0,565,48,0.410053835053835,0.410053835053835,0.4903713927868517,0.08031755773301669,0.6894586894586894,0.6894586894586894,0.7578347578347578,0.06837606837606847,0.542051292554908,0.4515055432915543,0.42740291077590503,-0.024102632515649258,True,False,7,9,2.3526744099069963e-07,0.34083623399550766,0.006934756995178759,1,0,3042,1ae103e2be6980fe2f9d0bec53aa790143181786cdfbda47e79d0007af75b75d
SR-MMP,HA1E,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,470,143,978,0,False,True,True,False,unweighted_publication_primary,-1.09345395434842,-1.09345395434842,1.5217434762210055e-08,100000000.0,3.162277660168379,True,True,3162.277660168379,470,143,0.5813986716180104,0.5813986716180104,0.5813986716180104,0.0,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.0,0.44796498452044375,0.3724437742032065,0.3724437469290615,-2.7274144998035155e-08,True,False,1,3,1.5890649046612637e-08,0.3696357741150188,0.0032839380437508225,1,1,3042,1ae103e2be6980fe2f9d0bec53aa790143181786cdfbda47e79d0007af75b75d
SR-MMP,HA1E,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,494,119,978,0,False,True,True,False,unweighted_publication_primary,-1.1112181518142046,-1.1112181518142046,0.060336019074496004,10.0,1.0,False,False,10000.0,494,119,0.5983009472108285,0.5983009472108285,0.7234151594086942,0.12511421219786567,0.8673007246376812,0.8673007246376812,0.896286231884058,0.02898550724637683,0.4199656079191153,0.3591995571566806,0.32305060144005576,-0.03614895571662485,True,False,10,12,1.3916672564687205e-07,0.33040619508535185,0.00887910695746541,1,2,3042,1ae103e2be6980fe2f9d0bec53aa790143181786cdfbda47e79d0007af75b75d
SR-MMP,HA1E,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,423,190,978,0,False,True,True,False,unweighted_publication_primary,-0.9876203546559601,-0.9876203546559601,0.06409844595957052,10.0,1.0,False,False,10000.0,423,190,0.6183356842864183,0.6183356842864183,0.7071937037759389,0.08885801948952066,0.8340585443037974,0.8340585443037974,0.8795490506329113,0.04549050632911389,0.4614725507918129,0.3494266573144738,0.3137951112623918,-0.03563154605208202,True,False,9,11,7.34722788928166e-07,0.33471721156717793,0.007435920997522771,1,3,3042,1ae103e2be6980fe2f9d0bec53aa790143181786cdfbda47e79d0007af75b75d
SR-MMP,HA1E,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,500,113,978,0,False,True,True,False,unweighted_publication_primary,-1.0896408977623666,-1.0896408977623666,0.1265367781015688,3.162277660168379,1.0,False,False,31622.776601683796,500,113,0.5306178807324464,0.5306178807324464,0.6906219059617622,0.16000402522931578,0.8033126293995859,0.8033126293995859,0.8436853002070392,0.040372670807453326,0.45948891715260864,0.3853043721936848,0.32387182501102524,-0.06143254718265956,True,False,12,14,8.083195244534824e-07,0.30189774162856065,0.009689545957371593,1,4,3042,1ae103e2be6980fe2f9d0bec53aa790143181786cdfbda47e79d0007af75b75d
