task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-MMP,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,389,41,978,0,False,True,True,False,unweighted_publication_primary,-1.36605199719681,-1.36605199719681,1.0445366392925526e-08,100000000.0,3.162277660168379,True,True,3162.277660168379,389,41,0.6667600373482726,0.6667600373482726,0.6667600373482726,0.0,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.0,0.3865846440755328,0.3069426678751534,0.3069426696902462,1.8150927982851783e-09,True,False,1,3,7.991539888174692e-09,0.3095694509520185,0.002597274025902152,0,0,2042,594449ec5ea47ec081304755150d33c7d787a8c8fa9b28c6fdfc0f52d351ab4f
SR-MMP,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,350,80,978,0,False,True,True,False,unweighted_publication_primary,-1.3241520779304152,-1.3241520779304152,9.177930561078779e-09,100000000.0,10.0,True,True,3162.277660168379,350,80,0.7287932248922961,0.7287932248922961,0.7287932248922961,0.0,0.9154411764705882,0.9154411764705882,0.9154411764705882,0.0,0.4309522626800593,0.28964147783288596,0.28964147009121605,-7.741669916239147e-09,True,False,1,3,5.7888082521939666e-09,0.31380587285228223,0.0026277570286765695,0,1,2042,594449ec5ea47ec081304755150d33c7d787a8c8fa9b28c6fdfc0f52d351ab4f
SR-MMP,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,341,89,978,0,False,True,True,False,unweighted_publication_primary,-1.3895166549246625,-1.3895166549246625,9.234412719434709e-09,100000000.0,3.162277660168379,True,True,1000.0,341,89,0.44321816445876594,0.44321816445876594,0.44321816445876594,0.0,0.8142857142857143,0.8142857142857143,0.8142857142857143,0.0,0.4540595071451132,0.3568915225776336,0.3568915142252259,-8.352407709910636e-09,True,False,1,3,6.380409738743209e-09,0.29701055915750585,0.002225459087640047,0,2,2042,594449ec5ea47ec081304755150d33c7d787a8c8fa9b28c6fdfc0f52d351ab4f
SR-MMP,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,342,88,978,0,False,True,True,False,unweighted_publication_primary,-1.3388823954626743,-1.3388823954626743,0.0030673478438991873,316.2277660168379,10.0,False,False,10000.0,342,88,0.45457276372828215,0.45457276372828215,0.45694479645745767,0.0023720327291755217,0.8348717948717949,0.8348717948717949,0.8358974358974359,0.0010256410256410664,0.4563268642231806,0.33257147782308843,0.33112133405424166,-0.0014501437688467789,True,False,3,5,8.614769261283683e-07,0.301758225315837,0.003092119935899973,0,3,2042,594449ec5ea47ec081304755150d33c7d787a8c8fa9b28c6fdfc0f52d351ab4f
SR-MMP,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,298,132,978,0,False,True,True,False,unweighted_publication_primary,-1.2891728916795173,-1.2891728916795173,9.943445860299238e-09,100000000.0,10.0,True,True,3162.277660168379,298,132,0.5823661365801978,0.5823661365801978,0.5823661365801978,0.0,0.8469827586206896,0.8469827586206896,0.8469827586206896,0.0,0.41120865022475106,0.27613466336842224,0.2761346557067402,-7.661682066562037e-09,True,False,1,3,7.318951056323186e-09,0.3242026113844684,0.002162590972147882,0,4,2042,594449ec5ea47ec081304755150d33c7d787a8c8fa9b28c6fdfc0f52d351ab4f
SR-MMP,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,389,41,978,0,False,True,True,False,unweighted_publication_primary,-1.3390981928607133,-1.3390981928607133,8.695336498368036e-09,100000000.0,3.162277660168379,True,True,1000.0,389,41,0.5861471861471861,0.5861471861471861,0.5861471861471861,0.0,0.9095238095238096,0.9095238095238096,0.9095238095238096,0.0,0.44109689222769893,0.31596657342284706,0.31596655965207565,-1.3770771412069394e-08,True,False,1,3,6.428024751370387e-09,0.30858844641289085,0.0024438321124762297,1,0,3042,447937a43947cf11233ec3e294d82705c275bebf1b5a517e316d936954062c30
SR-MMP,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,341,89,978,0,False,True,True,False,unweighted_publication_primary,-1.4168535837947207,-1.4168535837947207,1.0784062429660813e-08,100000000.0,3.162277660168379,True,True,3162.277660168379,341,89,0.5515920186368519,0.5515920186368519,0.5515920186368519,0.0,0.7828571428571429,0.7828571428571429,0.7828571428571429,0.0,0.4282338473773746,0.35630295924225125,0.35630295645263493,-2.7896163157237197e-09,True,False,1,3,8.279533780797266e-09,0.297380206933168,0.002271546982228756,1,1,3042,447937a43947cf11233ec3e294d82705c275bebf1b5a517e316d936954062c30
SR-MMP,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,348,82,978,0,False,True,True,False,unweighted_publication_primary,-1.3818251899063665,-1.3818251899063665,0.05879243372505181,10.0,1.0,False,False,3162.277660168379,348,82,0.3833148156628385,0.3833148156628385,0.4615329905474481,0.07821817488460964,0.8127090301003344,0.8127090301003344,0.8539576365663322,0.04124860646599782,0.4551208943097448,0.35784513257053746,0.3437777273802195,-0.014067405190317961,True,False,8,10,2.119832856264936e-07,0.27079172506650323,0.00556384096853435,1,2,3042,447937a43947cf11233ec3e294d82705c275bebf1b5a517e316d936954062c30
SR-MMP,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,303,127,978,0,False,True,True,False,unweighted_publication_primary,-1.2681403547762637,-1.2681403547762637,1.1664607211714487e-08,100000000.0,3.162277660168379,True,True,3162.277660168379,303,127,0.5866134696047657,0.5866134696047657,0.5866134696047657,0.0,0.9268018018018017,0.9268018018018017,0.9268018018018017,0.0,0.4115088968284884,0.26516514539782116,0.2651651434530204,-1.944800764874799e-09,True,False,1,3,9.263039741497225e-09,0.3282150833101736,0.001996884006075561,1,3,3042,447937a43947cf11233ec3e294d82705c275bebf1b5a517e316d936954062c30
SR-MMP,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,339,91,978,0,False,True,True,False,unweighted_publication_primary,-1.3023491101907376,-1.3023491101907376,8.322159078022376e-09,100000000.0,10000.0,True,True,31622.776601683796,339,91,0.6357834720810175,0.6357834720810175,0.6357834720810175,0.0,0.8639240506329113,0.8639240506329113,0.8639240506329113,0.0,0.43290577154049004,0.2844257697415949,0.2844257602508114,-9.490783492438482e-09,True,False,1,3,4.8256967588589106e-09,0.31607837458124466,0.0021716089686378837,1,4,3042,447937a43947cf11233ec3e294d82705c275bebf1b5a517e316d936954062c30
