task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-p53,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,474,59,978,0,False,True,True,False,unweighted_publication_primary,-1.527443719017716,-1.527443719017716,8.544511674848402e-09,100000000.0,10.0,True,True,3162.277660168379,474,59,0.40590540411968984,0.40590540411968984,0.40590540411968984,0.0,0.793956043956044,0.793956043956044,0.793956043956044,0.0,0.4794844205270903,0.3290186254397243,0.3290186193175941,-6.122130247199209e-09,True,False,1,3,4.5024293512246905e-09,0.29985962388793996,0.00391695904545486,0,0,2042,4ce442b30a6a92de0a7275d3acbf6572d2c8127814eeb87067d2f5bd70339819
SR-p53,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,424,109,978,0,False,True,True,False,unweighted_publication_primary,-1.4874139394234351,-1.4874139394234351,9.598763982695155e-09,100000000.0,10.0,True,True,3162.277660168379,424,109,0.33112139719341327,0.33112139719341327,0.33112139719341327,0.0,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.0,0.4667915848505118,0.295077362764358,0.2950773582822374,-4.482120563586989e-09,True,False,1,3,4.245574211636516e-09,0.3051983207309893,0.002705805003643036,0,1,2042,4ce442b30a6a92de0a7275d3acbf6572d2c8127814eeb87067d2f5bd70339819
SR-p53,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,416,117,978,0,False,True,True,False,unweighted_publication_primary,-1.566836371564199,-1.566836371564199,0.05995194856411655,10.0,1.0,False,False,3162.277660168379,416,117,0.33041705325339343,0.33041705325339343,0.40070566049148937,0.07028860723809593,0.7302357836338419,0.7302357836338419,0.7739251040221914,0.043689320388349495,0.4585262336971718,0.3346395336625009,0.31785809802847664,-0.016781435634024233,True,False,8,10,1.3901149129805918e-07,0.26811957841756656,0.007257204968482256,0,2,2042,4ce442b30a6a92de0a7275d3acbf6572d2c8127814eeb87067d2f5bd70339819
SR-p53,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,435,98,978,0,False,True,True,False,unweighted_publication_primary,-1.5728013687090192,-1.5728013687090192,8.88535497314736e-09,100000000.0,1.0,True,True,1000.0,435,98,0.3930675856500032,0.3930675856500032,0.3930675856500032,0.0,0.770135746606335,0.770135746606335,0.770135746606335,0.0,0.4805182027118141,0.35672437260840983,0.35672436742002095,-5.188388885191131e-09,True,False,1,3,4.456357324822413e-09,0.29116406261573347,0.003848358988761902,0,3,2042,4ce442b30a6a92de0a7275d3acbf6572d2c8127814eeb87067d2f5bd70339819
SR-p53,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,383,150,978,0,False,True,True,False,unweighted_publication_primary,-1.4345686392731967,-1.4345686392731967,0.024032665989316235,31.622776601683796,10.0,False,False,10000.0,383,150,0.3906733554968213,0.3906733554968213,0.4572309750631058,0.06655761956628448,0.8013285024154589,0.8013285024154589,0.8568840579710145,0.05555555555555558,0.417012968944073,0.24295254675463315,0.23261686182116686,-0.010335684933466288,True,False,5,7,5.082595604770368e-07,0.3161163010958326,0.005069290986284614,0,4,2042,4ce442b30a6a92de0a7275d3acbf6572d2c8127814eeb87067d2f5bd70339819
SR-p53,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,470,63,978,0,False,True,True,False,unweighted_publication_primary,-1.5208510927302659,-1.5208510927302659,9.279069678395929e-09,100000000.0,10.0,True,True,3162.277660168379,470,63,0.38109335620856366,0.38109335620856366,0.38109335620856366,0.0,0.8341836734693877,0.8341836734693877,0.8341836734693877,0.0,0.45630705208023215,0.30417710718307645,0.3041771050883176,-2.094758866366675e-09,True,False,1,3,4.370239066491715e-09,0.3029373637456957,0.003002914017997682,1,0,3042,64f92f3b9f644a5fd60d8924dabbd008f5aec30238acfe5c61bc33e99eb0c0f6
SR-p53,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,417,116,978,0,False,True,True,False,unweighted_publication_primary,-1.4581034946848106,-1.4581034946848106,0.003070562518786778,316.2277660168379,3.162277660168379,False,False,3162.277660168379,417,116,0.20001029311679175,0.20001029311679175,0.20459576839948426,0.004585475282692514,0.717948717948718,0.717948717948718,0.7243589743589743,0.0064102564102563875,0.5125723794458731,0.31706861110908036,0.31620599708200775,-0.0008626140270726057,True,False,3,5,4.2095771928506165e-07,0.29788740999418195,0.003995434031821787,1,1,3042,64f92f3b9f644a5fd60d8924dabbd008f5aec30238acfe5c61bc33e99eb0c0f6
SR-p53,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,438,95,978,0,False,True,True,False,unweighted_publication_primary,-1.5115462325633786,-1.5115462325633786,9.033782291942207e-09,100000000.0,10.0,True,True,3162.277660168379,438,95,0.5744505209058102,0.5744505209058102,0.5744505209058102,0.0,0.8341176470588236,0.8341176470588236,0.8341176470588236,0.0,0.4388332794115808,0.28172862704244755,0.2817286222411623,-4.8012852582601795e-09,True,False,1,3,4.616026188022926e-09,0.3077181302456392,0.0032073609763756394,1,2,3042,64f92f3b9f644a5fd60d8924dabbd008f5aec30238acfe5c61bc33e99eb0c0f6
SR-p53,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,436,97,978,0,False,True,True,False,unweighted_publication_primary,-1.5474348391305692,-1.5474348391305692,8.479335968598264e-09,100000000.0,3.162277660168379,True,True,3162.277660168379,436,97,0.4472924452091119,0.4472924452091119,0.4472924452091119,0.0,0.7980392156862746,0.7980392156862746,0.7980392156862746,0.0,0.46458417592246626,0.32606576726319686,0.3260657604742679,-6.788928974543751e-09,True,False,1,3,3.4220162205191723e-09,0.2980177308201071,0.0031020999886095524,1,3,3042,64f92f3b9f644a5fd60d8924dabbd008f5aec30238acfe5c61bc33e99eb0c0f6
SR-p53,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,371,162,978,0,False,True,True,False,unweighted_publication_primary,-1.5556081482818283,-1.5556081482818283,8.104565497983467e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,371,162,0.36964516714767304,0.36964516714767304,0.36964516714767304,0.0,0.7303082191780822,0.7303082191780822,0.7303082191780822,0.0,0.41667034076781884,0.2930031935151116,0.29300318725024427,-6.2648673471166205e-09,True,False,1,3,4.445909914524426e-09,0.30757613044982174,0.0029905110131949186,1,4,3042,64f92f3b9f644a5fd60d8924dabbd008f5aec30238acfe5c61bc33e99eb0c0f6
