task,cell,variant,solver,n_repeats,outer_folds_per_repeat,n_paired_outer_draws,n_failed_outer_draws,n_unique_compounds,n_test_evaluations,mean_delta_auprc,sd_delta_auprc,mean_delta_auroc,sd_delta_auroc,n_alpha_boundary_hits,n_folds_saturated_no_bio_signal,nb_auprc_n,nb_auprc_mean,nb_auprc_naive_se,nb_auprc_corrected_se,nb_auprc_correction_factor,nb_auprc_mean_test_train_ratio,nb_auprc_t_stat,nb_auprc_p_value,nb_auprc_df,nb_auprc_ci_low,nb_auprc_ci_high,nb_auprc_significant_nb,nb_auprc_empirical_variance,nb_auprc_variance_degenerate,nb_auprc_inference_valid,nb_auroc_n,nb_auroc_mean,nb_auroc_naive_se,nb_auroc_corrected_se,nb_auroc_correction_factor,nb_auroc_mean_test_train_ratio,nb_auroc_t_stat,nb_auroc_p_value,nb_auroc_df,nb_auroc_ci_low,nb_auroc_ci_high,nb_auroc_significant_nb,nb_auroc_empirical_variance,nb_auroc_variance_degenerate,nb_auroc_inference_valid,nb_log_loss_n,nb_log_loss_mean,nb_log_loss_naive_se,nb_log_loss_corrected_se,nb_log_loss_correction_factor,nb_log_loss_mean_test_train_ratio,nb_log_loss_t_stat,nb_log_loss_p_value,nb_log_loss_df,nb_log_loss_ci_low,nb_log_loss_ci_high,nb_log_loss_significant_nb,nb_log_loss_empirical_variance,nb_log_loss_variance_degenerate,nb_log_loss_inference_valid
NR-AR,HA1E,standardized,lbfgs,20,5,100,0,830,16600,-6.006115490283986e-05,0.001890991396276424,-0.0013557242726254643,0.013557954619037684,95,87,100,-6.006115490283986e-05,0.0001890991396276424,0.0009781344944942642,0.26755806343868055,0.25755806343868054,-0.06140377958339354,0.9511614361011577,99,-0.0020008921997337354,0.0018807698899280555,False,3.5758484607914597e-06,False,True,100,-0.0013557242726254643,0.0013557954619037684,0.00701298964859491,0.26755806343868055,0.25755806343868054,-0.19331616622264527,0.8471074271298377,99,-0.015271017214122405,0.012559568668871476,False,0.00018381813345188527,False,True,100,7.450864758179603e-05,0.00010638751740012937,0.0005503002327645897,0.26755806343868055,0.25755806343868054,0.13539635847050374,0.8925734178806992,99,-0.0010174064026888768,0.0011664236978524687,False,1.1318303858562829e-06,False,True
NR-AR-LBD,HA1E,standardized,lbfgs,20,5,100,0,747,14940,-3.961998148880007e-06,0.0031904641473560146,-0.00037099305106658045,0.003731836677751661,95,78,100,-3.961998148880007e-06,0.00031904641473560146,0.0016515260457042682,0.2679557723653901,0.2579557723653901,-0.002398992228542465,0.9980907104428067,99,-0.003280947973893393,0.0032730239775956324,False,1.0179061475564142e-05,False,True,100,-0.00037099305106658045,0.0003731836677751661,0.0019317645292234082,0.2679557723653901,0.2579557723653901,-0.19204879552049958,0.84809735871114,99,-0.004204032976274857,0.0034620468741416964,False,1.3926604989412552e-05,False,True,100,0.00010220331742528407,8.688660054191097e-05,0.00044976366193171424,0.2679557723653901,0.2579557723653901,0.22723782749883686,0.8207074146233067,99,-0.0007902253647522437,0.000994631999602812,False,7.549281353729603e-07,False,True
NR-AhR,HA1E,standardized,lbfgs,20,5,100,0,727,14540,0.0026977527384268816,0.01477802726187961,-0.0001343424847373087,0.004098787924134991,89,87,100,0.0026977527384268816,0.0014778027261879607,0.0076644110482101445,0.26898288645974266,0.25898288645974266,0.3519843496724882,0.7255981316445294,99,-0.012510101586762119,0.01790560706361588,False,0.00021839008975285692,False,True,100,-0.0001343424847373087,0.0004098787924134991,0.002125777337753735,0.26898288645974266,0.25898288645974266,-0.06319687502138188,0.9497371559989193,99,-0.004352345913441268,0.004083660943966651,False,1.680006244703483e-05,False,True,100,-0.0006691505611039259,0.00046095676728213604,0.0023906858996111235,0.26898288645974266,0.25898288645974266,-0.27989898681912667,0.7801389905329945,99,-0.005412790048845102,0.004074488926637251,False,2.124811413031973e-05,False,True
NR-Aromatase,HA1E,standardized,lbfgs,20,5,100,0,655,13100,0.08555669663751782,0.10140669213462736,0.038413984688188914,0.043841661951987305,20,21,100,0.08555669663751782,0.010140669213462737,0.052757151777190134,0.27066334791457514,0.2606633479145751,1.6217080292516617,0.10804651178970771,99,-0.01912493823209928,0.19023833150713493,False,0.010283317209687094,False,True,100,0.038413984688188914,0.0043841661951987305,0.022808763061658424,0.27066334791457514,0.2606633479145751,1.6841765853038693,0.09529799809504232,99,-0.006843549621698815,0.08367151899807665,False,0.0019220913227123316,False,True,100,-0.014685972108395402,0.0015244035872216289,0.007930757795942586,0.27066334791457514,0.2606633479145751,-1.8517741288113496,0.06703850343886154,99,-0.03042231616541432,0.0010503719486235144,False,0.00023238062967341703,False,True
NR-ER,HA1E,standardized,lbfgs,20,5,100,0,689,13780,-0.0004285205956690141,0.008403175010971067,-0.0008966439777729817,0.01122478299384594,94,75,100,-0.0004285205956690141,0.0008403175010971067,0.004369892109535165,0.270429840494913,0.26042984049491297,-0.09806205391981561,0.9220812878653835,99,-0.009099334595672725,0.008242293404334697,False,7.061335026500859e-05,False,True,100,-0.0008966439777729817,0.001122478299384594,0.005837209218183778,0.270429840494913,0.26042984049491297,-0.15360833306776156,0.8782312458109773,99,-0.012478933457995979,0.010685645502450016,False,0.00012599575325893304,False,True,100,0.00019040280484083127,0.0005109893549321252,0.0026572912586719016,0.270429840494913,0.26042984049491297,0.07165296774279589,0.9430226404102122,99,-0.0050822395557118,0.0054630451653934625,False,2.6111012085394945e-05,False,True
NR-ER-LBD,HA1E,standardized,lbfgs,20,5,100,0,772,15440,-0.011185114453055669,0.05593005721507067,-0.0016003786670497767,0.013912643728192451,93,61,100,-0.011185114453055669,0.005593005721507067,0.028934087305991733,0.267626459014266,0.257626459014266,-0.3865722230933972,0.6999025566520198,99,-0.06859662096203666,0.046226392055925325,False,0.0031281713000810784,False,True,100,-0.0016003786670497767,0.0013912643728192452,0.0071973759429698825,0.267626459014266,0.257626459014266,-0.22235585298458177,0.8244949545803429,99,-0.015881534019471406,0.012680776685371854,False,0.00019356165550761276,False,True,100,0.00022565111081060657,0.00015504702812059072,0.0008020989914108134,0.267626459014266,0.257626459014266,0.2813257630628713,0.7790477148698233,99,-0.0013658873047347466,0.0018171895263559596,False,2.4039580929027247e-06,False,True
NR-PPAR-gamma,HA1E,standardized,lbfgs,20,5,100,0,696,13920,0.0,0.0,0.0,0.0,100,32,100,0.0,0.0,0.0,0.2695039235615009,0.25950392356150087,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.2695039235615009,0.25950392356150087,,,99,,,False,0.0,True,False,100,1.0883081102974757e-10,2.2847525412594223e-11,1.1861011177242918e-10,0.2695039235615009,0.25950392356150087,,,99,,,False,5.220094174791388e-20,True,False
SR-ARE,HA1E,standardized,lbfgs,20,5,100,0,584,11680,0.01245358287594035,0.035449423105011216,0.009494672961202833,0.016922163568185516,56,56,100,0.01245358287594035,0.0035449423105011215,0.018456141059636114,0.2710587665173421,0.2610587665173421,0.6747663466430986,0.5013970111652466,99,-0.02416740507402505,0.049074570825905744,False,0.001256661598478103,False,True,100,0.009494672961202833,0.0016922163568185516,0.008810237529775684,0.2710587665173421,0.2610587665173421,1.0776863766855302,0.2837926996350454,99,-0.00798674969219606,0.02697609561460173,False,0.00028635961982842516,False,True,100,-0.0052966859773325,0.0010708484981032445,0.005575191132433156,0.2710587665173421,0.2610587665173421,-0.9500456309954151,0.3444026142904847,99,-0.016359074730207257,0.0057657027755422564,False,0.00011467165058899744,False,True
SR-ATAD5,HA1E,standardized,lbfgs,20,5,100,0,778,15560,0.02509532456372994,0.06917972832416662,0.008958668878062384,0.023717842252791915,43,43,100,0.02509532456372994,0.006917972832416662,0.03576516590720111,0.2672777358357825,0.2572777358357825,0.7016694576181777,0.484531578743598,99,-0.04587052390285891,0.09606117303031879,False,0.0047858348110055016,False,True,100,0.008958668878062384,0.002371784225279191,0.01226186606511433,0.2672777358357825,0.2572777358357825,0.7306121947906673,0.46674159358430123,99,-0.015371533625466538,0.033288871381591305,False,0.0005625360411283214,False,True,100,-0.004163267635581681,0.0011173735991391012,0.005776699782091519,0.2672777358357825,0.2572777358357825,-0.7207000177659091,0.4727924659948688,99,-0.01562549326698419,0.007298957995820825,False,0.00012485237600530686,False,True
SR-HSE,HA1E,standardized,lbfgs,20,5,100,0,697,13940,0.0071096153812750555,0.04760264905524081,-0.006727830269635755,0.041735179224271446,74,74,100,0.0071096153812750555,0.004760264905524081,0.02467727620765349,0.2687399307975941,0.2587399307975941,0.2881037324155758,0.7738696297468033,99,-0.0418554543870129,0.05607468514956301,False,0.002266012197076419,False,True,100,-0.006727830269635755,0.004173517922427145,0.02163557208965622,0.2687399307975941,0.2587399307975941,-0.3109615147570918,0.7564836758307535,99,-0.04965749916551976,0.03620183862624825,False,0.0017418251848820591,False,True,100,-0.0009787144685950116,0.00046108265185032987,0.0023902585633551487,0.2687399307975941,0.2587399307975941,-0.40945966415499985,0.6830869257732187,99,-0.0057215060284930876,0.0037640770913030647,False,2.125972118373325e-05,False,True
SR-MMP,HA1E,standardized,lbfgs,20,5,100,0,613,12260,0.1106638873959525,0.07795037364145432,0.05239754967527913,0.04391848679178638,1,1,100,0.1106638873959525,0.007795037364145433,0.040683124647556954,0.2723906525669115,0.26239065256691146,2.720142279007518,0.007708449658168157,99,0.029939741829929284,0.1913880329619757,True,0.006076260750842338,False,True,100,0.05239754967527913,0.004391848679178638,0.022921522874293606,0.2723906525669115,0.26239065256691146,2.285954121051999,0.024388384344126893,99,0.006916275433711733,0.09787882391684653,True,0.0019288334820803145,False,True,100,-0.045356182657200955,0.002435323661927652,0.012710211826702289,0.2723906525669115,0.26239065256691146,-3.568483615820963,0.0005555094778834916,99,-0.07057600042100978,-0.020136364893392135,True,0.000593080133834471,False,True
SR-p53,HA1E,standardized,lbfgs,20,5,100,0,757,15140,0.030475670560873632,0.05624830179548792,0.023533175197554185,0.031947119053854216,39,41,100,0.030475670560873632,0.0056248301795487924,0.02914978345682649,0.26856649762754015,0.25856649762754014,1.0454853157317927,0.29834472878048435,99,-0.027363823906968853,0.08831516502871611,False,0.00316387145487629,False,True,100,0.023533175197554185,0.003194711905385422,0.01655608387743376,0.26856649762754015,0.25856649762754014,1.4214215977505602,0.15833672526109868,99,-0.009317687082649483,0.05638403747775785,False,0.0010206184158411352,False,True,100,-0.009191641297989724,0.0013551333495733756,0.007022762009564629,0.26856649762754015,0.25856649762754014,-1.3088356526208913,0.1936200997449875,99,-0.02312632472377904,0.004743042127799595,False,0.00018363863951259565,False,True
NR-AR,HT29,standardized,lbfgs,20,5,100,0,585,11700,0.0,0.0,0.0,0.0,100,75,100,0.0,0.0,0.0,0.265067187143678,0.255067187143678,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.265067187143678,0.255067187143678,,,99,,,False,0.0,True,False,100,-1.385164891121171e-10,2.965261126622632e-11,1.5266550860755968e-10,0.265067187143678,0.255067187143678,,,99,,,False,8.792773549059318e-20,True,False
NR-AR-LBD,HT29,standardized,lbfgs,20,5,100,0,523,10460,0.0,0.0,0.0,0.0,100,61,100,0.0,0.0,0.0,0.2665813702024514,0.25658137020245136,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.2665813702024514,0.25658137020245136,,,99,,,False,0.0,True,False,100,-3.0229252989677494e-11,1.0221941478075496e-11,5.277743604726371e-11,0.2665813702024514,0.25658137020245136,,,99,,,False,1.0448808758120026e-20,True,False
NR-AhR,HT29,standardized,lbfgs,20,5,100,0,516,10320,0.0,0.0,0.0,0.0,100,69,100,0.0,0.0,0.0,0.26730018329902844,0.25730018329902843,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.26730018329902844,0.25730018329902843,,,99,,,False,0.0,True,False,100,-9.957233398916188e-11,3.4329261880464944e-11,1.774859967884003e-10,0.26730018329902844,0.25730018329902843,,,99,,,False,1.1784982212575437e-19,True,False
NR-Aromatase,HT29,standardized,lbfgs,20,5,100,0,475,9500,0.00032987840989583963,0.0032987840989583974,3.062117235345552e-05,0.0003062117235345552,99,88,100,0.00032987840989583963,0.00032987840989583974,0.0017057828901193737,0.2673866516611595,0.2573866516611595,0.19338827456098717,0.8470511113185921,99,-0.0030547649162724943,0.0037145217360641733,False,1.0881976531540765e-05,False,True,100,3.062117235345552e-05,3.062117235345552e-05,0.00015834037726935083,0.2673866516611595,0.2573866516611595,0.19338827456098723,0.8470511113185921,99,-0.0002835604883326705,0.0003448028330395815,False,9.376561963000286e-08,False,True,100,-1.085340013933983e-05,1.08523881859401e-05,5.611709505437298e-05,0.2673866516611595,0.2573866516611595,-0.1934063074509426,0.847037027955786,99,-0.00012220189141565077,0.0001004950911369711,False,1.1777432933833226e-08,False,True
NR-ER,HT29,standardized,lbfgs,20,5,100,0,487,9740,-9.807360462389836e-05,0.0008087612570736296,-0.00012557603686636054,0.0009603888563339308,98,88,100,-9.807360462389836e-05,8.087612570736297e-05,0.00041820227823384585,0.2673819655640312,0.2573819655640312,-0.23451236334264688,0.8150715660570699,99,-0.0009278776542550459,0.0007317304450072492,False,6.540947709433176e-07,False,True,100,-0.00012557603686636054,9.603888563339308e-05,0.0004966073785019138,0.2673819655640312,0.2573819655640312,-0.2528678434967647,0.8008946509713206,99,-0.0011109528155341464,0.0008598007418014254,False,9.223467553703956e-07,False,True,100,2.551229659570331e-05,1.834148198559593e-05,9.484195101426505e-05,0.2673819655640312,0.2573819655640312,0.2689980153599543,0.7884910136417725,99,-0.0001626747103209575,0.00021369930351236414,False,3.3640996142794e-08,False,True
NR-ER-LBD,HT29,standardized,lbfgs,20,5,100,0,547,10940,-0.006249290785469593,0.028670188257552527,-0.0014899450742633259,0.010279144935532671,91,84,100,-0.006249290785469593,0.0028670188257552526,0.014815758986578038,0.26704639513291806,0.25704639513291805,-0.4218002460171619,0.6740853397946913,99,-0.03564697091610484,0.02314838934516565,False,0.0008219796947235028,False,True,100,-0.0014899450742633259,0.001027914493553267,0.005311905613763732,0.26704639513291806,0.25704639513291805,-0.2804916319301145,0.7796856499525179,99,-0.012029918237907456,0.009050028089380805,False,0.00010566082060568696,False,True,100,9.189457851261337e-05,0.00015558224130508656,0.0008039950659063321,0.26704639513291806,0.25704639513291805,0.11429744087921974,0.9092334950785077,99,-0.0015034060601880714,0.0016871952172132982,False,2.4205833809514188e-06,False,True
NR-PPAR-gamma,HT29,standardized,lbfgs,20,5,100,0,483,9660,-0.0015498977925199667,0.010077941321229444,-0.003707126207126208,0.02608692733545866,96,67,100,-0.0015498977925199667,0.0010077941321229443,0.005212573317480938,0.267522739147597,0.257522739147597,-0.29733831988937476,0.76683124100088,99,-0.011892774130047494,0.008792978545007562,False,0.00010156490127414386,False,True,100,-0.003707126207126208,0.002608692733545866,0.013492837180687934,0.267522739147597,0.257522739147597,-0.2747477166946144,0.7840826072629299,99,-0.030479842464993828,0.023065590050741415,False,0.0006805277778055003,False,True,100,0.0002514438319185913,0.00019763918389203308,0.0010222412530564737,0.267522739147597,0.257522739147597,0.24597308234898665,0.8062123134595824,99,-0.0017769045909275406,0.0022797922547647233,False,3.906124700950887e-06,False,True
SR-ARE,HT29,standardized,lbfgs,20,5,100,0,416,8320,-0.006108446180238508,0.04069688090344738,0.0035280002915861887,0.01957203912391012,67,67,100,-0.006108446180238508,0.004069688090344738,0.021123269345445162,0.2694015084725115,0.2594015084725115,-0.28918090662682766,0.7730476468937117,99,-0.048021595286754516,0.0358047029262775,False,0.0016562361152693797,False,True,100,0.0035280002915861887,0.001957203912391012,0.010158652085273771,0.2694015084725115,0.2594015084725115,0.34729019775177294,0.7291105249573275,99,-0.016628969380493058,0.023684969963665436,False,0.0003830647154678684,False,True,100,-0.001323824779207976,0.0010278261681706308,0.005334818912062112,0.2694015084725115,0.2594015084725115,-0.24814802545870615,0.8045338688740173,99,-0.011909262897750727,0.009261613339334776,False,0.00010564266319763218,False,True
SR-ATAD5,HT29,standardized,lbfgs,20,5,100,0,544,10880,0.0,0.0,0.0,0.0,100,68,100,0.0,0.0,0.0,0.26653435703088924,0.2565343570308892,,,99,,,False,0.0,True,False,100,0.0,0.0,0.0,0.26653435703088924,0.2565343570308892,,,99,,,False,0.0,True,False,100,-1.1817281000969791e-10,4.5179031811706495e-11,2.332456318228744e-10,0.26653435703088924,0.2565343570308892,,,99,,,False,2.0411449154431872e-19,True,False
SR-HSE,HT29,standardized,lbfgs,20,5,100,0,498,9960,0.0020808816725982394,0.02659649618498047,-0.002113640124786974,0.014374400406242533,96,63,100,0.0020808816725982394,0.002659649618498047,0.013748936854077501,0.26723256582861277,0.25723256582861276,0.1513485511413281,0.8800087507516843,99,-0.0251999918984848,0.02936175524368128,False,0.0007073736093176807,False,True,100,-0.002113640124786974,0.0014374400406242532,0.007430780435366573,0.26723256582861277,0.25723256582861276,-0.2844438943084859,0.7766643407595104,99,-0.016857920627580396,0.01263064037800645,False,0.0002066233870389855,False,True,100,2.8904463452221197e-05,2.134097986158239e-05,0.00011032121768232506,0.26723256582861277,0.25723256582861276,0.2620027593916966,0.7938636845343889,99,-0.00018999676678412762,0.00024780569368857,False,4.554374214524651e-08,False,True
