task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AR,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.2000861978870306,0.4001723957740612,False,False,1,3,42,42,1,1.4505981485446462e-09,0.19718361600069856,0.026429270044900477,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.20008619736606542,0.40017239473213084,True,False,1,3,42,42,1,2.3892932164010228e-09,0.19718361463719342,0.02680026099551469,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.20008619571863023,0.40017239143726047,True,False,1,3,42,42,1,7.638980141153051e-09,0.19718361032541343,0.02618243102915585,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.200086190508995,0.40017238101799,True,False,1,3,42,42,1,2.4159442613136406e-08,0.19718359669038518,0.025468629086390138,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.2000861740348066,0.4001723480696132,True,False,1,3,42,42,1,7.639437856789277e-08,0.1971835535728136,0.025552827981300652,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.20008612194009406,0.4001722438801881,True,False,1,3,42,42,1,2.415801972580761e-07,0.19718341722481705,0.029080645996145904,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.20008595721460304,0.4001719144292061,True,False,1,3,42,42,1,7.639444725253408e-07,0.19718298607196222,0.030708063975907862,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.20008543643069193,0.40017087286138386,True,False,2,4,42,42,1,1.4536389301468555e-10,0.19718162282058813,0.03458941599819809,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.20008379080777966,0.4001675816155593,True,False,2,4,42,42,1,1.454353808390263e-09,0.19717731357744855,0.03382529807277024,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
NR-AR,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,765,240,978,0,True,True,-1.8170506720966642,True,0.20007859926906976,0.4001571985381395,True,False,2,4,42,42,1,1.4563911927356968e-08,0.1971637039019055,0.03104179003275931,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,60157bed0c1acf31820f05b9c2deeb01eecffe4321fcff8b559ff9e44a1915f0
