task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38615269374635597,0.7723053874927119,False,False,1,3,42,42,1,9.840807474459368e-10,0.3851574002881433,0.017350552952848375,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38615269344229014,0.7723053868845803,True,False,1,3,42,42,1,1.9706321054135945e-09,0.3851573982978941,0.01614830002654344,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.3861526924807505,0.772305384961501,True,False,1,3,42,42,1,6.199054915223545e-09,0.3851573920041744,0.015727474936284125,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.386152689440107,0.772305378880214,True,False,1,3,42,42,1,1.9612619431286227e-08,0.3851573721016933,0.015571860014460981,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.3861526798248643,0.7723053596497286,True,False,1,3,42,42,1,6.200808811210323e-08,0.3851573091646047,0.01533996791113168,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38615264941996075,0.7723052988399215,True,False,1,3,42,42,1,1.9609241687368328e-07,0.38515711014088067,0.015598629019223154,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.3861525532828506,0.7723051065657012,True,False,1,3,42,42,1,6.200823522393983e-07,0.385156480780857,0.01719449192751199,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38615224948710386,0.7723044989742077,True,False,2,4,42,42,1,3.2230121306195403e-10,0.38515449065222984,0.02071502699982375,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.3861512905469715,0.772302581093943,True,False,2,4,42,42,1,3.2220100064546398e-09,0.3851481981377726,0.01928366592619568,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.386148275843065,0.77229655168613,True,False,2,4,42,42,1,3.218678530387403e-08,0.38512830769803374,0.018824024009518325,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38613891826914715,0.7722778365382943,True,False,2,4,42,42,1,3.2081811212605546e-07,0.3850654906643454,0.01831200299784541,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.3861110055239022,0.7722220110478044,True,False,3,5,42,42,1,3.021662349587256e-08,0.38486765638508785,0.022533143986947834,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38603770924541814,0.7720754184908363,True,False,3,5,42,42,1,8.82616759804479e-07,0.38424985986544813,0.02310468500945717,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38591292219597506,0.7718258443919501,True,False,5,7,42,42,1,3.161937293591488e-08,0.3823665319323916,0.028759639943018556,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38599180033095315,0.7719836006619063,True,False,7,9,42,42,1,2.9944105233575824e-07,0.37695759913324367,0.03519703692290932,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.38724998177147896,0.7744999635429579,True,False,10,13,42,42,1,2.2193253236199584e-07,0.3632328305463013,0.048684741952456534,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.3917903383950745,0.783580676790149,True,False,13,17,42,42,1,3.1099110446184894e-07,0.33492619315866345,0.06573408609256148,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.4034034148492571,0.8068068296985142,True,False,18,21,42,42,1,9.482058836453831e-07,0.28933455916988104,0.07941195310559124,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,0.09999999999999999,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.4329588939841615,0.865917787968323,True,False,30,36,42,42,1,4.7082115167598054e-07,0.23052556631912988,0.1401204610010609,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,0.03162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.5004184372383116,1.0008368744766232,True,False,42,48,42,42,1,9.317786067129796e-07,0.1696204740169405,0.1975160490255803,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,0.01,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.6433075600133269,1.2866151200266538,True,False,64,69,42,42,1,7.201818315778503e-07,0.11755640412215196,0.2736892079701647,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,0.0031622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,0.9357430249065842,1.8714860498131685,True,False,87,96,42,42,1,8.2286259694518e-07,0.07679574457486532,0.34963025304023176,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,0.001,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,1.433969130683617,2.867938261367234,True,False,102,112,42,42,1,9.687120724505998e-07,0.046272638457392316,0.4102258390048519,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,0.00031622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,2.109355526084798,4.218711052169596,True,False,105,119,42,42,1,9.846481375019232e-07,0.02544743560422632,0.5099274029489607,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,0,lbfgs,9.999999999999999e-05,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,605,377,978,0,True,True,-1.554377490670713,True,2.9156720601609143,5.831344120321829,True,False,97,105,42,42,1,8.177851469628826e-07,0.012871424793917688,0.4998541600070894,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37031956640398533,0.7406391328079707,False,False,1,3,42,42,1,2.7794156698401906e-09,0.3920326316398085,0.022446263930760324,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37031956603799415,0.7406391320759883,True,False,1,3,42,42,1,6.3560852900379494e-09,0.39203262910227155,0.02438385400455445,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3703195648806318,0.7406391297612636,True,False,1,3,42,42,1,2.0200519715296572e-08,0.3920326210778789,0.02360927010886371,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3703195612207643,0.7406391224415286,True,False,1,3,42,42,1,6.400782474880184e-08,0.3920325957025609,0.022636933950707316,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37031954964758373,0.7406390992951675,True,False,1,3,42,42,1,2.023964458114369e-07,0.3920325154591562,0.02316132001578808,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37031951305333993,0.7406390261066799,True,False,1,3,42,42,1,6.400129092531959e-07,0.3920322617111931,0.022320472984574735,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37031939736211056,0.7406387947242211,True,False,2,4,42,42,1,1.871535402781649e-11,0.3920314593293066,0.027374694938771427,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37031903182894754,0.7406380636578951,True,False,2,4,42,42,1,1.8707187220742133e-10,0.39202892237115117,0.02759647008497268,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37031787904004476,0.7406357580800895,True,False,2,4,42,42,1,1.868243475070322e-09,0.39202090376272203,0.026666224002838135,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3703142646961417,0.7406285293922834,True,False,2,4,42,42,1,1.860453094880421e-08,0.39199558614955454,0.02628534904215485,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.370303140174532,0.740606280349064,True,False,2,4,42,42,1,1.83618227537043e-07,0.39191591549253824,0.026817901991307735,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37027083666169397,0.7405416733233879,True,False,3,5,42,42,1,2.0107049157613854e-08,0.39166776320621155,0.03249301889445633,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,100.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.37019262770325884,0.7403852554065177,True,False,3,5,42,42,1,5.707802475801715e-07,0.39091754715141347,0.032151949941180646,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,31.622776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3700854091792259,0.7401708183584518,True,False,4,6,42,42,1,9.99251893243902e-07,0.3888104788094052,0.037964051007293165,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,10.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3700623854427691,0.7401247708855382,True,False,7,9,42,42,1,3.1783716342159707e-07,0.3835655610437361,0.05399481300264597,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,3.162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3698092262130536,0.7396184524261072,True,False,9,11,42,42,1,4.60215695389371e-07,0.3716638306705695,0.06332091195508838,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,1.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3700904553471234,0.7401809106942469,True,False,15,17,42,42,1,3.857587176870833e-07,0.34682443966734233,0.09971272107213736,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,0.31622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.3770352942116863,0.7540705884233726,True,False,18,23,42,42,1,3.7253887686283967e-07,0.3041376584762359,0.14185271493624896,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,0.09999999999999999,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.40226863157860165,0.8045372631572033,True,False,30,36,42,42,1,7.777152536739794e-07,0.24703143133686786,0.20565970696043223,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,0.03162277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.46319006970507187,0.9263801394101437,True,False,47,51,42,42,1,5.06412322083755e-07,0.18602344807049126,0.32033652998507023,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,0.01,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.6023098155152519,1.2046196310305037,True,False,71,78,42,42,1,9.473746495771524e-07,0.1318386895652562,0.4781530889449641,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,0.0031622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,0.8940720727127768,1.7881441454255536,True,False,93,103,42,42,1,8.567817425625358e-07,0.08833670039944044,0.5749403509544209,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,0.001,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,1.3983312534271681,2.7966625068543363,True,False,120,134,42,42,1,8.150001636825168e-07,0.054833303836881946,0.7356518930755556,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,0.00031622776601683794,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,2.0927712552841076,4.185542510568215,True,False,127,140,42,42,1,9.029476319378441e-07,0.03101563279194263,0.7592531699920073,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,1,lbfgs,9.999999999999999e-05,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,696,286,978,0,True,True,-1.4395877978363496,True,2.930213063144078,5.860426126288156,True,False,122,132,42,42,1,9.464738721038973e-07,0.01605569601766075,1.039769698982127,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
NR-ER,MCF7,standardized,0,2042,2,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,663,319,978,0,True,True,-1.5402674235158316,True,0.40052958162573515,0.8010591632514703,False,False,1,3,42,42,1,2.242371713876215e-09,0.3782322488061469,0.029480166966095567,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,cc6152383a8b2a3c2ad5b1b9407b0ffe7c69d130374e46f79e90290aef625802
