task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13621962682024572,0.27243925364049143,False,False,1,3,42,42,1,1.3220812083991618e-09,0.14137147643008635,0.011502644047141075,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13621962732929102,0.27243925465858204,True,False,1,3,42,42,1,2.4478601333421945e-09,0.14137147523919436,0.010602778987959027,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13621962893903347,0.27243925787806694,True,False,1,3,42,42,1,7.961726337241126e-09,0.14137147147326393,0.013695086003281176,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13621963402948545,0.2724392680589709,True,False,1,3,42,42,1,2.5218565513629443e-08,0.14137145956435362,0.01223438698798418,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13621965012690138,0.27243930025380275,True,False,1,3,42,42,1,7.977603750167206e-08,0.1413714219051462,0.012256791931577027,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13621970103133302,0.27243940206266604,True,False,1,3,42,42,1,2.5227060641147547e-07,0.1413713028170106,0.010161194950342178,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.1362198620046091,0.2724397240092182,True,False,1,3,42,42,1,7.977170877054851e-07,0.1413709262346069,0.011836858000606298,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.1362203710389645,0.272440742077929,True,False,2,4,42,42,1,9.712074547363336e-11,0.14136973544993914,0.012257520924322307,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13622198067285746,0.2724439613457149,True,False,2,4,42,42,1,9.704063498941484e-10,0.14136597059233758,0.014849155908450484,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
NR-PPAR-gamma,HEPG2,standardized,0,2043,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,357,131,978,0,True,True,-1.8964839620838632,True,0.13622707002715667,0.27245414005431334,True,False,2,4,42,42,1,9.680172452682101e-09,0.14135407239583442,0.012421924038790166,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,5975d60394426c265ba305d07f6a829ab69a8e3d1cce3ea34923bfb085d543e3
