task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.1602524147794944,0.3205048295589888,False,False,1,3,42,42,1,3.1076535234042524e-09,0.19270036585027336,0.009031874011270702,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.1602524138815135,0.320504827763027,True,False,1,3,42,42,1,6.529804044697052e-09,0.1927003607612091,0.009171521989628673,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.16025241104185498,0.32050482208370995,True,False,1,3,42,42,1,2.1123628998753752e-08,0.1927003446681811,0.008995200973004103,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.16025240206212932,0.32050480412425864,True,False,1,3,42,42,1,6.663022422692677e-08,0.19270029377761957,0.009686325094662607,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.16025237366637413,0.32050474733274825,True,False,1,3,42,42,1,2.1073554719308607e-07,0.19270013284814724,0.00910179503262043,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.16025228387741874,0.3205045677548375,True,False,1,3,42,42,1,6.663768426229399e-07,0.19269962395060847,0.00925982091575861,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.1602520000368856,0.3205040000737712,True,False,2,4,42,42,1,7.57710699739178e-11,0.19269801473664883,0.01113474101293832,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.16025110328311315,0.3205022065662263,True,False,2,4,42,42,1,7.573639632107998e-10,0.19269292656873863,0.008935538004152477,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.16024827588317467,0.32049655176634934,True,False,2,4,42,42,1,7.562840576014196e-09,0.1926768424989725,0.012686295085586607,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
SR-ATAD5,HEPG2,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,317,233,978,0,True,True,-1.1108323238420088,True,0.16023941835362845,0.3204788367072569,True,False,2,4,42,42,1,7.528857330629801e-08,0.19262604136221448,0.01252573390956968,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,56d32d855bd59379a53bac7fde6c6097b60df8a888c058f8d2790414c511fb70
