task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.3353923824670544,0.6707847649341088,False,False,1,3,42,42,1,9.217690326301931e-10,0.30539524931171846,0.008369577000848949,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.33539237417507684,0.6707847483501537,True,False,1,3,42,42,1,2.1260117034904713e-09,0.3053952451451304,0.0063427649438381195,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.3353923479535494,0.6707846959070988,True,False,1,3,42,42,1,6.701763793220961e-09,0.30539523196922425,0.005544071085751057,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.3353922650338793,0.6707845300677586,True,False,1,3,42,42,1,2.118013064586477e-08,0.30539519030337403,0.006423010025173426,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.33539200281966347,0.6707840056393269,True,False,1,3,42,42,1,6.698523443565696e-08,0.30539505854462173,0.006021882058121264,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.3353911736335517,0.6707823472671034,True,False,1,3,42,42,1,2.1183009629721639e-07,0.30539464188921167,0.005376380984671414,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.3353885515972811,0.6707771031945622,True,False,1,3,42,42,1,6.698543490134268e-07,0.30539332433260336,0.005971097038127482,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.33538026086877654,0.6707605217375531,True,False,2,4,42,42,1,3.1035462567940986e-10,0.3053891580876304,0.008204333018511534,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.33535405175599164,0.6707081035119833,True,False,2,4,42,42,1,3.102194423218463e-09,0.30537598561239265,0.007280564052052796,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
SR-p53,HEPG2,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,389,136,978,0,True,True,-1.4959704551082464,True,0.3352712561560984,0.6705425123121967,True,False,2,4,42,42,1,3.0975129256677336e-08,0.30533435405730164,0.00788127793930471,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,3e7764bdddf769ae72c39078daa7d487f69fe06af813940fec2f94f7e3b1f06c
