task,cell,variant,outer_fold,outer_split_seed,inner_fold,solver,alpha,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,inner_calibration_intercept,success,validation_bce,validation_deviance,warm_started,retry_used,n_iterations,n_function_evaluations,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,gradient_inf_norm,objective,elapsed_seconds,message,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-p53,MCF7,standardized,0,2042,0,lbfgs,100000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.3353598247010545,0.670719649402109,False,False,1,3,42,42,1,1.508169603092746e-09,0.2260917755637353,0.01728107000235468,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,31622776.60168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.33535982243171436,0.6707196448634287,True,False,1,3,42,42,1,4.094748748406651e-09,0.22609177159505142,0.017151633044704795,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,10000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.3353598152554345,0.670719630510869,True,False,1,3,42,42,1,1.2604327054299702e-08,0.22609175904497444,0.017177522997371852,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,3162277.6601683795,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.33535979256208215,0.6707195851241643,True,False,1,3,42,42,1,3.9842215165952766e-08,0.2260917193581798,0.017557052080519497,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,1000000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.3353597207997752,0.6707194415995504,True,False,1,3,42,42,1,1.2600832845210963e-07,0.22609159385785066,0.017871832009404898,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,316227.7660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.3353594938711753,0.6707189877423506,True,False,1,3,42,42,1,3.9845650638692387e-07,0.22609119699431252,0.016684693982824683,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,100000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.3353587762976366,0.6707175525952732,True,False,2,4,42,42,1,1.4209737553283475e-11,0.22608994203510197,0.02222769905347377,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,31622.776601683796,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.33535650750655804,0.6707130150131161,True,False,2,4,42,42,1,1.4207773152419279e-10,0.22608597384049894,0.020683270995505154,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,10000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.33534933671473444,0.6706986734294689,True,False,2,4,42,42,1,1.4201803552604808e-09,0.2260734286551686,0.020822769030928612,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,3162.277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.3353266981604538,0.6706533963209076,True,False,2,4,42,42,1,1.4182958363306852e-08,0.2260337907450159,0.020059346919879317,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,1000.0,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.33525548122267185,0.6705109624453437,True,False,2,4,42,42,1,1.4123667498727732e-07,0.22590877824359082,0.02083294396288693,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
SR-p53,MCF7,standardized,0,2042,0,lbfgs,316.2277660168379,raw_then_fit_gene_mean_sd_on_training_matrix,raw_inner_training,733,201,978,0,True,True,-1.9261803674585727,True,0.3350339234558891,0.6700678469117782,True,False,3,5,42,42,1,1.0716613627753668e-08,0.2255167609349136,0.024196331040002406,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0,0,2042,4d08796e14c51e62cfeedddd5baf07c9097c0277f611ad4b2648dbb1d0e972c6
