task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,DDR1,6.589323653872217e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,PAX8,1.0431286939064192e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,RPS5,1.4067650194530678e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,ABCF1,1.1481415820003353e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,SPAG7,-7.146952250957778e-12,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,RHOA,-4.2668647006802094e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,RNPS1,-1.2064709762836907e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,SMNDC1,1.192737691038717e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,ATP6V0B,3.3217313515263774e-12,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,RPS6,9.296097616665355e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,USP22,-1.2521431637947126e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,APP,1.4172754025757842e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,CLTC,7.310742470997358e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,MLEC,-1.4365798860108809e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,CSRP1,-1.6435912094089387e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,CALM3,4.334254670784205e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,PTPRF,-7.732465291462726e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,DNAJB1,-3.435071164444521e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,XBP1,1.0608534657793383e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,GRN,-1.2009786060536733e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,HK1,-1.2171481755829402e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,KDELR2,-6.016139918946482e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,SKP1,9.887856140479748e-12,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,CAPN1,-7.752801568079063e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,CALU,-1.5858640555067732e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,CTSD,-1.0221263675038815e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,MAT2A,-1.3628116832283685e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,STMN1,-1.451615349128646e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,ECH1,-8.119187232700237e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,IQGAP1,-1.3230964918587832e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,HSPA1A,-6.441686812761719e-12,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,HSPD1,-6.25920603220454e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,CIRBP,1.5815008596284982e-10,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,PSME1,-4.80105277141251e-11,100000000.0,-1.949281964401316,True
NR-Aromatase,HT29,standardized,0,0,0,2042,2042,46a76b70e6daa3213d2397cc2237d8893b266c6c22df26d2c43a160ececec891,PAFAH1B1,2.4288308686598172e-11,100000000.0,-1.949281964401316,True
