task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,DDR1,2.2767500069300145e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,PAX8,-3.4976560807246223e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,RPS5,-2.0349020326887092e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,ABCF1,2.0278289680916985e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,SPAG7,2.2368308792826917e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,RHOA,4.16040630137317e-12,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,RNPS1,-7.491664857992755e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,SMNDC1,-1.1972576088396826e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,ATP6V0B,-1.9299710595350568e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,RPS6,-1.7102307027364714e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,USP22,-1.6127906553864074e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,APP,-9.309875602217664e-12,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,CLTC,-2.706521705260169e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,MLEC,-1.2289487402337637e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,CSRP1,-4.578032966272043e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,CALM3,2.5236634544460684e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,PTPRF,8.647945545200584e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,DNAJB1,-1.306026764733791e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,XBP1,-1.1216402359411712e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,GRN,-9.74432218968518e-12,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,HK1,-7.48966098201695e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,KDELR2,-1.6194241597863445e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,SKP1,-1.3455214050365354e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,CAPN1,-2.34963798238053e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,CALU,-3.8202981253900494e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,CTSD,1.09873723398221e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,MAT2A,-2.2352455214207345e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,STMN1,-2.720371175330721e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,ECH1,1.384047558627116e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,IQGAP1,6.396224627605096e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,HSPA1A,1.4151723179208313e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,HSPD1,-2.088970346256433e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,CIRBP,-2.1454230811013153e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,PSME1,-1.3115080849668074e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,PAFAH1B1,1.7163421768169875e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,HYOU1,7.361740626198063e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,PSMD2,-1.0904956864523329e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,EPRS,-2.2388275165025862e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,PSMD4,-3.431367381391139e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,PGAM1,-5.28957443982791e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,STAT1,-6.945182839259687e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,FKBP4,1.928592340417888e-11,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,KTN1,1.4442370522870736e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,TMED10,1.7637308194141792e-10,100000000.0,-1.4814552853359033,True
NR-ER,HA1E,standardized,0,0,0,2042,2042,440f94a8ad99cc76abae37ccababfc884dcbd357777ae621d52d50fc6729aef7,ALDOA,3.7606182215337524e-11,100000000.0,-1.4814552853359033,True
