task,cell,variant,repeat_id,fold_id,outer_fold_id,outer_seed_requested,outer_split_seed,outer_split_signature,gene,beta,alpha_star_outer,bio_intercept,beta_saturated_no_bio_signal
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,DDR1,-1.1167394534795856e-10,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,PAX8,1.6673265155007747e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,RPS5,2.7979175025511286e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,ABCF1,9.159548495428483e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,SPAG7,2.594609747936098e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,RHOA,-6.589326213492647e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,RNPS1,-8.72063081807814e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,SMNDC1,2.8042268450427678e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,ATP6V0B,1.726977404847017e-10,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,RPS6,3.130085639034909e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,USP22,9.587028405069066e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,APP,7.391279174377048e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,CLTC,-7.725415329642986e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,MLEC,-2.8686164792165765e-11,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,CSRP1,1.1108446553389785e-10,100000000.0,-1.3959445969163076,True
SR-ATAD5,MCF7,standardized,0,0,0,2042,2042,1f21a7bb1552c977fd7a816133f187ee811a931cd8ac7d88c871b0d491c6cedd,CALM3,2.051805332287987e-11,100000000.0,-1.3959445969163076,True
