task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-AhR,MCF7,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1009,102,978,0,False,True,True,False,unweighted_publication_primary,-1.3853811307336528,-1.3853811307336528,2.7134352472163667e-09,100000000.0,3.162277660168379,True,True,100.0,1009,102,0.7645320733657446,0.7645320733657446,0.7645320733657446,0.0,0.9003831417624522,0.9003831417624522,0.9003831417624522,0.0,0.332233583704459,0.27172391497830567,0.27172391480906727,-1.692384010709702e-10,True,False,1,3,1.2489307366081448e-09,0.2591914370366956,0.05093753710389137,0,0,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,861,250,978,0,False,True,True,False,unweighted_publication_primary,-1.3806681348899907,-1.3806681348899907,2.6080708068577453e-09,100000000.0,3.162277660168379,True,True,100.0,861,250,0.31767621819871694,0.31767621819871694,0.31767621819871694,0.0,0.7733516483516483,0.7733516483516483,0.7733516483516483,0.0,0.3632693618812409,0.28402007730756035,0.28402007694251036,-3.6504999023634355e-10,True,False,1,3,3.487913126723474e-10,0.2534496359738706,0.031928831012919545,0,1,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,896,215,978,0,False,True,True,False,unweighted_publication_primary,-1.2913913273014663,-1.2913913273014663,2.9772747267412547e-09,100000000.0,3.162277660168379,True,True,100.0,896,215,0.5873567550609595,0.5873567550609595,0.5873567550609595,0.0,0.8217710095882684,0.8217710095882684,0.8217710095882684,0.0,0.3539565705586633,0.22676579212347234,0.22676579197167443,-1.5179790757713363e-10,True,False,1,3,7.110127868414917e-10,0.2684900908024728,0.020494102034717798,0,2,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,914,197,978,0,False,True,True,False,unweighted_publication_primary,-1.274461799024922,-1.274461799024922,2.877927469033263e-09,100000000.0,1.0,True,True,31.622776601683796,914,197,0.44859465737514514,0.44859465737514514,0.44859465737514514,0.0,0.8299465240641711,0.8299465240641711,0.8299465240641711,0.0,0.29122709352160325,0.16947553970038332,0.16947553948367128,-2.16712037204303e-10,True,False,1,3,7.707909935317225e-10,0.28012734759112656,0.01878809102345258,0,3,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,764,347,978,0,False,True,True,False,unweighted_publication_primary,-1.4268134015755618,-1.4268134015755618,3.0860348319268227e-09,100000000.0,1.0,True,True,316.2277660168379,764,347,0.39811052799052316,0.39811052799052316,0.39811052799052316,0.0,0.7698133414932682,0.7698133414932682,0.7698133414932682,0.0,0.4048400558637533,0.3161398197862929,0.31613981964909493,-1.3719797520295174e-10,True,False,1,3,9.12627640126118e-10,0.23527937661722123,0.019772500963881612,0,4,2042,61af844de3775ba24f692e2ffae3bb316b2922679dfffcd4ac5500566887852b
NR-AhR,MCF7,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,1014,97,978,0,False,True,True,False,unweighted_publication_primary,-1.3794400626741021,-1.3794400626741021,2.7638648008630388e-09,100000000.0,1.0,True,True,316.2277660168379,1014,97,0.7024339279897357,0.7024339279897357,0.7024339279897357,0.0,0.8852941176470588,0.8852941176470588,0.8852941176470588,0.0,0.3366071341372479,0.27442352562249295,0.27442352561608957,-6.403377827979284e-12,True,False,1,3,7.004836433122108e-10,0.2589768520912759,0.03896060900297016,1,0,3042,3e756a60de2437a2c5e924e5bb39acd4b412ac501406bca40861279835a68231
NR-AhR,MCF7,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,881,230,978,0,False,True,True,False,unweighted_publication_primary,-1.3566854615394057,-1.3566854615394057,2.9364432925053657e-09,100000000.0,3.162277660168379,True,True,100.0,881,230,0.22017356276663633,0.22017356276663633,0.22017356276663633,0.0,0.7707023060796645,0.7707023060796645,0.7707023060796645,0.0,0.3174198887323639,0.23931089534027253,0.23931089522311916,-1.1715337033813e-10,True,False,1,3,8.601063819502208e-10,0.26576463744752504,0.028799730935133994,1,1,3042,3e756a60de2437a2c5e924e5bb39acd4b412ac501406bca40861279835a68231
NR-AhR,MCF7,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,869,242,978,0,False,True,True,False,unweighted_publication_primary,-1.3641386260558435,-1.3641386260558435,2.7297783156077715e-09,100000000.0,3.162277660168379,True,True,31.622776601683796,869,242,0.5109946148991453,0.5109946148991453,0.5109946148991453,0.0,0.8352201257861636,0.8352201257861636,0.8352201257861636,0.0,0.3813563430320021,0.2824698782223151,0.2824698779326915,-2.8962360287820843e-10,True,False,1,3,3.929256260637448e-10,0.25412075463653583,0.02672120905481279,1,2,3042,3e756a60de2437a2c5e924e5bb39acd4b412ac501406bca40861279835a68231
NR-AhR,MCF7,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,911,200,978,0,False,True,True,False,unweighted_publication_primary,-1.28131868562566,-1.28131868562566,2.8216582571171003e-09,100000000.0,3.162277660168379,True,True,31.622776601683796,911,200,0.51589543754005,0.51589543754005,0.51589543754005,0.0,0.8746383799421408,0.8746383799421408,0.8746383799421408,0.0,0.3601958029578099,0.22349174196698907,0.22349174177888934,-1.8809973023614646e-10,True,False,1,3,6.041747779156337e-10,0.2685844529478265,0.032500483095645905,1,3,3042,3e756a60de2437a2c5e924e5bb39acd4b412ac501406bca40861279835a68231
NR-AhR,MCF7,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,769,342,978,0,False,True,True,False,unweighted_publication_primary,-1.3567409386647,-1.3567409386647,3.071804639054463e-09,100000000.0,3.162277660168379,True,True,100.0,769,342,0.4241699464188248,0.4241699464188248,0.4241699464188248,0.0,0.7407166123778501,0.7407166123778501,0.7407166123778501,0.0,0.376234513045885,0.2776235600557558,0.27762355982911613,-2.2663965149050114e-10,True,False,1,3,5.775607457569887e-10,0.25257859406383176,0.02532134100329131,1,4,3042,3e756a60de2437a2c5e924e5bb39acd4b412ac501406bca40861279835a68231
