task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-Aromatase,HEPG2,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,465,47,978,0,False,True,True,False,unweighted_publication_primary,-1.8836563883457378,-1.8836563883457378,5.513995517476787e-09,100000000.0,3.162277660168379,True,True,316.2277660168379,465,47,0.39217506631299737,0.39217506631299737,0.39217506631299737,0.0,0.75,0.75,0.75,0.0,0.489431250890818,0.252483364806536,0.25248336373187397,-1.0746620260349005e-09,True,False,1,3,9.226843265125462e-10,0.2792515334891914,0.00980642600916326,0,0,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,414,98,978,0,False,True,True,False,unweighted_publication_primary,-1.9882698199466606,-1.9882698199466606,0.016393605378693346,31.622776601683796,1.0,False,False,1000.0,414,98,0.4851860677012494,0.4851860677012494,0.4276401084468461,-0.05754595925440331,0.7684108527131782,0.7684108527131782,0.7906976744186046,0.022286821705426396,0.5061167389100611,0.33720041606661744,0.3337111514886759,-0.00348926457794152,True,False,5,7,9.873339867905173e-08,0.25841431348734883,0.01758953998796642,0,1,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,406,106,978,0,False,True,True,False,unweighted_publication_primary,-1.814088685752193,-1.814088685752193,5.4839278904693746e-09,100000000.0,1.0,True,True,316.2277660168379,406,106,0.35248051207888353,0.35248051207888353,0.35248051207888353,0.0,0.6926020408163265,0.6926020408163265,0.6926020408163265,0.0,0.5236466929578332,0.2422882429547148,0.2422882410780298,-1.876685001844791e-09,True,False,1,3,9.88846182020664e-10,0.2861132083774577,0.010262900032103062,0,2,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,351,161,978,0,False,True,True,False,unweighted_publication_primary,-1.7786241965661314,-1.7786241965661314,0.053224850985745684,10.0,0.31622776601683794,False,False,1000.0,351,161,0.29343460393395904,0.29343460393395904,0.37123893113988926,0.07780432720593022,0.7103030303030303,0.7103030303030303,0.7242424242424242,0.013939393939393918,0.49050071385373806,0.23082111327557395,0.22485974794623415,-0.005961365329339802,True,False,7,9,1.4631088736827974e-07,0.2812079038768001,0.011733171995729208,0,3,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,412,100,978,0,False,True,True,False,unweighted_publication_primary,-1.9908925422172923,-1.9908925422172923,5.738865535341507e-09,100000000.0,1.0,True,True,316.2277660168379,412,100,0.2752833069703559,0.2752833069703559,0.2752833069703559,0.0,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.0,0.5143496699961275,0.35343989884084825,0.3534398980378978,-8.029504283690869e-10,True,False,1,3,1.6633655286479865e-09,0.25866549517033427,0.007767250994220376,0,4,2042,0eda775b0f6730ae572b867c08b6d27ed6b910c115745c99a3f6120a2ac6d1ad
NR-Aromatase,HEPG2,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,461,51,978,0,False,True,True,False,unweighted_publication_primary,-1.8503681159112155,-1.8503681159112155,5.260528663053627e-09,100000000.0,1.0,True,True,1000.0,461,51,0.26096491228070173,0.26096491228070173,0.26096491228070173,0.0,0.7847222222222223,0.7847222222222223,0.7847222222222223,0.0,0.49944476670761756,0.21361957578326748,0.2136195735094996,-2.2737678961881613e-09,True,False,1,3,8.696182645512307e-10,0.2838581022420615,0.00976615003310144,1,0,3042,0d4fddcadaada58b1c386dc37700c3a7bffbfba828e0da2c722dd0c4b03a2a54
NR-Aromatase,HEPG2,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,412,100,978,0,False,True,True,False,unweighted_publication_primary,-2.0139971634665153,-2.0139971634665153,5.278720892772814e-09,100000000.0,31.622776601683796,True,True,100.0,412,100,0.2113327002135628,0.2113327002135628,0.2113327002135628,0.0,0.6560565870910698,0.6560565870910698,0.6560565870910698,0.0,0.5403942370752918,0.3880624676313883,0.3880624660234913,-1.6078969822252986e-09,True,False,1,3,1.4178892226990314e-09,0.25050674370971365,0.010634485050104558,1,1,3042,0d4fddcadaada58b1c386dc37700c3a7bffbfba828e0da2c722dd0c4b03a2a54
NR-Aromatase,HEPG2,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,407,105,978,0,False,True,True,False,unweighted_publication_primary,-1.7884330870040586,-1.7884330870040586,0.05341819121226755,10.0,3.162277660168379,False,False,1000.0,407,105,0.2918027553577426,0.2918027553577426,0.23351122058018609,-0.0582915347775565,0.7760942760942761,0.7760942760942761,0.8047138047138047,0.028619528619528656,0.49272841506814247,0.20612435315292493,0.20891917786471237,0.002794824711787436,True,False,7,9,8.728273269593967e-08,0.27786314398677825,0.02041327499318868,1,2,3042,0d4fddcadaada58b1c386dc37700c3a7bffbfba828e0da2c722dd0c4b03a2a54
NR-Aromatase,HEPG2,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,351,161,978,0,False,True,True,False,unweighted_publication_primary,-1.9926161960195572,-1.9926161960195572,5.9473215407747096e-09,100000000.0,1.0,True,True,316.2277660168379,351,161,0.3733243686784997,0.3733243686784997,0.3733243686784997,0.0,0.7078477078477079,0.7078477078477079,0.7078477078477079,0.0,0.5135798670281557,0.3171529036403237,0.3171529027362854,-9.040383441849542e-10,True,False,1,3,1.7696067389216807e-09,0.25885863757906974,0.004883446032181382,1,3,3042,0d4fddcadaada58b1c386dc37700c3a7bffbfba828e0da2c722dd0c4b03a2a54
NR-Aromatase,HEPG2,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,417,95,978,0,False,True,True,False,unweighted_publication_primary,-1.8491048658559617,-1.8491048658559617,0.000557615211236727,1000.0,1.0,False,True,1000.0,417,95,0.6538572358025838,0.6538572358025838,0.6541682455475559,0.00031100974497211276,0.788961038961039,0.788961038961039,0.7905844155844156,0.0016233766233766378,0.46927254321414347,0.2182077700075563,0.21804639303745543,-0.00016137697010087937,True,False,2,4,2.718352236051602e-07,0.290073726685773,0.009659535950049758,1,4,3042,0d4fddcadaada58b1c386dc37700c3a7bffbfba828e0da2c722dd0c4b03a2a54
