task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
NR-ER,HT29,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,723,76,978,0,False,True,True,False,unweighted_publication_primary,-1.4850795663377738,-1.4850795663377738,4.548898351125142e-09,100000000.0,31.622776601683796,True,True,100.0,723,76,0.37822758723004174,0.37822758723004174,0.37822758723004174,0.0,0.6380208333333333,0.6380208333333333,0.6380208333333333,0.0,0.6108321440564105,0.4212531982137218,0.4212531962741766,-1.9395451911208283e-09,True,False,1,3,4.3314855001364005e-09,0.4062926128947845,0.017741384101100266,0,0,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,647,152,978,0,False,True,True,False,unweighted_publication_primary,-1.3901099204842595,-1.3901099204842595,5.760633693002366e-09,100000000.0,31.622776601683796,True,True,100.0,647,152,0.5761044131459472,0.5761044131459472,0.5761044131459472,0.0,0.75,0.75,0.75,0.0,0.5854565643773099,0.32587409311275234,0.3258740938588806,7.461282702792005e-10,True,False,1,3,5.144063258688547e-09,0.42768792711189396,0.01341901789419353,0,1,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,620,179,978,0,False,True,True,False,unweighted_publication_primary,-1.621478143626905,-1.621478143626905,3.9086408524012285e-09,100000000.0,100000000.0,True,False,,620,179,0.48813393272177485,0.48813393272177485,0.48813393272177485,0.0,0.6786850477200423,0.6786850477200423,0.6786850477200423,0.0,0.6109900138719765,0.5158470495188943,0.5158470478831514,-1.6357428744839808e-09,True,False,1,3,3.3396016577147414e-09,0.37794674839661074,0.024582508020102978,0,2,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,557,242,978,0,False,True,True,False,unweighted_publication_primary,-1.4314002660628342,-1.4314002660628342,5.076692106241012e-09,100000000.0,1.0,True,True,100.0,557,242,0.16061118041539088,0.16061118041539088,0.16061118041539088,0.0,0.5999676218228913,0.5999676218228913,0.5999676218228913,0.0,0.5638335951191481,0.36714482228635464,0.36714482152165706,-7.646975830333247e-10,True,False,1,3,3.5481147776794675e-09,0.4256232080309148,0.012618444045074284,0,3,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,649,150,978,0,False,True,True,False,unweighted_publication_primary,-1.5154084584673293,-1.5154084584673293,5.337902867159634e-09,100000000.0,31.622776601683796,True,True,3162.277660168379,649,150,0.48470406112803555,0.48470406112803555,0.48470406112803555,0.0,0.7014051522248245,0.7014051522248245,0.7014051522248245,0.0,0.604801859394417,0.43881333461966854,0.43881333475449025,1.3482170935219528e-10,True,False,1,3,4.260184116935961e-09,0.40059264560526714,0.017306452966295183,0,4,2042,2af2fc0b2d341181e24f29911f3a74bff7f9fe0ffe6909fc153f2842be8ee386
NR-ER,HT29,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,711,88,978,0,False,True,True,False,unweighted_publication_primary,-1.4484286489192446,-1.4484286489192446,4.849679275534964e-09,100000000.0,100.0,True,True,316.2277660168379,711,88,0.3752559205500382,0.3752559205500382,0.3752559205500382,0.0,0.7001180637544273,0.7001180637544273,0.7001180637544273,0.0,0.5980368747533965,0.35523743990814666,0.35523743903549465,-8.726520062118936e-10,True,False,1,3,4.0505752450098464e-09,0.4143155423726583,0.02283064997754991,1,0,3042,c3bbe8dc5725ae7d218e19c7442aa04b887fa17fdc589984cf051957e32d78d8
NR-ER,HT29,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,647,152,978,0,False,True,True,False,unweighted_publication_primary,-1.559471576183667,-1.559471576183667,4.958744275830787e-09,100000000.0,31.622776601683796,True,True,316.2277660168379,647,152,0.450623511454708,0.450623511454708,0.450623511454708,0.0,0.6760886172650878,0.6760886172650878,0.6760886172650878,0.0,0.626865310289676,0.49073005392124075,0.49073005330451663,-6.167241162202686e-10,True,False,1,3,4.5443487670798755e-09,0.3886237059017873,0.023981695994734764,1,1,3042,c3bbe8dc5725ae7d218e19c7442aa04b887fa17fdc589984cf051957e32d78d8
NR-ER,HT29,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,577,222,978,0,False,True,True,False,unweighted_publication_primary,-1.447441133947827,-1.447441133947827,5.3250154486860795e-09,100000000.0,10.0,True,True,316.2277660168379,577,222,0.2659093892826865,0.2659093892826865,0.2659093892826865,0.0,0.6347569955817378,0.6347569955817378,0.6347569955817378,0.0,0.5597774923766271,0.36767502189935525,0.36767502122108947,-6.782657768766853e-10,True,False,1,3,5.21333079137043e-09,0.4232570451464193,0.02425811905413866,1,2,3042,c3bbe8dc5725ae7d218e19c7442aa04b887fa17fdc589984cf051957e32d78d8
NR-ER,HT29,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,627,172,978,0,False,True,True,False,unweighted_publication_primary,-1.5154650932840796,-1.5154650932840796,4.466433779100742e-09,100000000.0,31.622776601683796,True,True,100.0,627,172,0.5261632005754783,0.5261632005754783,0.5261632005754783,0.0,0.7024553571428571,0.7024553571428571,0.7024553571428571,0.0,0.5932043592027979,0.4261185809184157,0.4261185794939671,-1.4244486146175461e-09,True,False,1,3,3.745295251017522e-09,0.4027342840356355,0.013849362963810563,1,3,3042,c3bbe8dc5725ae7d218e19c7442aa04b887fa17fdc589984cf051957e32d78d8
NR-ER,HT29,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,634,165,978,0,False,True,True,False,unweighted_publication_primary,-1.4681993491113765,-1.4681993491113765,4.840415392998761e-09,100000000.0,100.0,True,True,316.2277660168379,634,165,0.3905556041941316,0.3905556041941316,0.3905556041941316,0.0,0.6276595744680852,0.6276595744680852,0.6276595744680852,0.0,0.5923353752236146,0.39911567135924597,0.39911567006805826,-1.2911877123045201e-09,True,False,1,3,4.1030268297520545e-09,0.4099808304981808,0.021866686991415918,1,4,3042,c3bbe8dc5725ae7d218e19c7442aa04b887fa17fdc589984cf051957e32d78d8
