task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-ARE,HA1E,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,636,54,978,0,False,True,True,False,unweighted_publication_primary,-1.0064256620004566,-1.0064256620004566,0.04505355841148128,10.0,1.0,False,False,3162.277660168379,636,54,0.7523075998075998,0.7523075998075998,0.7595319754159291,0.0072243756083293365,0.8290598290598291,0.8290598290598291,0.8273504273504274,-0.0017094017094017033,0.506691720012425,0.48633196667722994,0.47498993100512243,-0.011342035672107509,True,False,9,11,8.699940130148243e-07,0.41207205806303865,0.035647394019179046,0,0,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c
SR-ARE,HA1E,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,548,142,978,0,False,True,True,False,unweighted_publication_primary,-1.0440915161408928,-1.0440915161408928,0.11673676629898087,3.162277660168379,1.0,False,False,31622.776601683796,548,142,0.44600799597093965,0.44600799597093965,0.4886423872875351,0.042634391316595466,0.7156208277703605,0.7156208277703605,0.7497997329773031,0.034178905206942556,0.550575666267405,0.513257015155447,0.49079656108861364,-0.022460454066833335,True,False,13,15,9.963879320298852e-07,0.3780167144163176,0.0356858050217852,0,1,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c
SR-ARE,HA1E,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,470,220,978,0,False,True,True,False,unweighted_publication_primary,-0.9780710559563721,-0.9780710559563721,9.370284669124394e-09,100000000.0,3.162277660168379,True,True,3162.277660168379,470,220,0.5103451782858884,0.5103451782858884,0.5103451782858884,0.0,0.8262706090748058,0.8262706090748058,0.8262706090748058,0.0,0.462385704598711,0.3901617806829103,0.3901617761457468,-4.537163478257611e-09,True,False,1,3,1.2165659833696107e-08,0.45185952265666424,0.018086152034811676,0,2,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c
SR-ARE,HA1E,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,540,150,978,0,False,True,True,False,unweighted_publication_primary,-0.9728349920323949,-0.9728349920323949,8.637009685543453e-09,100000000.0,1.0,True,True,3162.277660168379,540,150,0.3230638485539026,0.3230638485539026,0.3230638485539026,0.0,0.6631518951268167,0.6631518951268167,0.6631518951268167,0.0,0.547851418540935,0.47058021070064865,0.47058020569188597,-5.008762682390255e-09,True,False,1,3,1.0602644640728132e-08,0.42151721117214574,0.012216545990668237,0,3,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c
SR-ARE,HA1E,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,566,124,978,0,False,True,True,False,unweighted_publication_primary,-0.8488576227768352,-0.8488576227768352,8.142985107008333e-09,100000000.0,1.0,True,True,3162.277660168379,566,124,0.40125015277115333,0.40125015277115333,0.40125015277115333,0.0,0.7974537037037037,0.7974537037037037,0.7974537037037037,0.0,0.5109504353070201,0.3598835296359816,0.35988352442070604,-5.215275544756537e-09,True,False,1,3,1.029694395027203e-08,0.4493322857846189,0.01993565505836159,0,4,2042,06126dbaa9c5a8c9c19c5cde59aa19b0ebd548c5aceb0624b70f4717a0c0947c
SR-ARE,HA1E,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,634,56,978,0,False,True,True,False,unweighted_publication_primary,-0.9603466430941735,-0.9603466430941735,8.549254032400574e-09,100000000.0,3.162277660168379,True,True,3162.277660168379,634,56,0.3971940449286079,0.3971940449286079,0.3971940449286079,0.0,0.6404040404040404,0.6404040404040404,0.6404040404040404,0.0,0.5821722735663017,0.4860540303702064,0.4860540278604383,-2.5097681155550333e-09,True,False,1,3,1.127066252132325e-08,0.42743006075503265,0.013118657981976867,1,0,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1
SR-ARE,HA1E,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,489,201,978,0,False,True,True,False,unweighted_publication_primary,-0.9545197990231016,-0.9545197990231016,8.946118093517342e-09,100000000.0,3.162277660168379,True,True,1000.0,489,201,0.3902514816579249,0.3902514816579249,0.3902514816579249,0.0,0.760822510822511,0.760822510822511,0.760822510822511,0.0,0.46945218860100313,0.39139947459582775,0.3913994701878047,-4.408023057678179e-09,True,False,1,3,1.1399717196255987e-08,0.448967947520304,0.020011825021356344,1,1,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1
SR-ARE,HA1E,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,566,124,978,0,False,True,True,False,unweighted_publication_primary,-0.9906999872625953,-0.9906999872625953,9.193608931765869e-09,100000000.0,3.162277660168379,True,True,3162.277660168379,566,124,0.6334548868949371,0.6334548868949371,0.6334548868949371,0.0,0.8286751361161524,0.8286751361161524,0.8286751361161524,0.0,0.514626470238317,0.44350412553303226,0.4435041236035714,-1.9294608688547044e-09,True,False,1,3,1.1699704850764991e-08,0.4297422614021437,0.012619724962860346,1,2,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1
SR-ARE,HA1E,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,537,153,978,0,False,True,True,False,unweighted_publication_primary,-0.9531351028171591,-0.9531351028171591,7.780775252264022e-09,100000000.0,1.0,True,True,1000.0,537,153,0.38975704083013907,0.38975704083013907,0.38975704083013907,0.0,0.7551428571428571,0.7551428571428571,0.7551428571428571,0.0,0.5029921336971519,0.41774094054958666,0.41774093315517125,-7.394415413308764e-09,True,False,1,3,9.335717983394165e-09,0.43632106060227593,0.012518665054813027,1,3,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1
SR-ARE,HA1E,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,534,156,978,0,False,True,True,False,unweighted_publication_primary,-0.9886667846241464,-0.9886667846241464,7.86786713169828e-09,100000000.0,3.162277660168379,True,True,1000.0,534,156,0.4557083689489679,0.4557083689489679,0.4557083689489679,0.0,0.7360094451003543,0.7360094451003543,0.7360094451003543,0.0,0.5453237388964073,0.4713519173492055,0.4713519112519104,-6.0972951132498565e-09,True,False,1,3,9.822765045797155e-09,0.42077451875101646,0.010694499011151493,1,4,3042,4723231b2bbd19db0d1f88e87a0eb191bc23e36b12eee61a20d67e4f068d0fb1
