task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-MMP,HEPG2,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,449,46,978,0,False,True,True,False,unweighted_publication_primary,-0.9107107296511019,-0.9107107296511019,0.1476539612019569,3.162277660168379,1.0,False,False,3162.277660168379,449,46,0.8177744039586144,0.8177744039586144,0.9034782608695652,0.08570385691095073,0.8972222222222221,0.8972222222222221,0.9472222222222222,0.050000000000000044,0.3987572798875048,0.35254611646852185,0.28423711715996325,-0.0683089993085586,True,False,11,13,7.429839265511023e-07,0.3461445670446751,0.02102846000343561,0,0,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,329,166,978,0,False,True,True,False,unweighted_publication_primary,-0.8872136890238336,-0.8872136890238336,0.15544919794667963,3.162277660168379,1.0,False,False,3162.277660168379,329,166,0.5130841733917466,0.5130841733917466,0.6300037716065551,0.11691959821480846,0.7696837513631407,0.7696837513631407,0.8235550708833151,0.05387131952017443,0.5057961732541827,0.43752423429597903,0.3929043054841778,-0.04461992881180121,True,False,11,13,5.119037686136807e-07,0.3151523838490755,0.014326684060506523,0,1,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,407,88,978,0,False,True,True,False,unweighted_publication_primary,-0.9407439318668941,-0.9407439318668941,0.06741348632073714,10.0,1.0,False,False,3162.277660168379,407,88,0.4318237261476429,0.4318237261476429,0.48471483182581576,0.052891105678172845,0.780320366132723,0.780320366132723,0.816933638443936,0.03661327231121292,0.4872829588199439,0.45155585330214015,0.43007467062739857,-0.021481182674741583,True,False,8,10,4.150329887316756e-07,0.35902938024404996,0.030426350072957575,0,2,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,406,89,978,0,False,True,True,False,unweighted_publication_primary,-0.8888652529278802,-0.8888652529278802,0.1534238003167344,3.162277660168379,1.0,False,False,3162.277660168379,406,89,0.7226207096778916,0.7226207096778916,0.8078152412346222,0.08519453155673062,0.8488721804511278,0.8488721804511278,0.9007518796992482,0.051879699248120414,0.4418320606378699,0.3725157733875681,0.32411263482900726,-0.04840313855856082,True,False,11,13,3.5289409795746796e-07,0.3433327019443897,0.015906824031844735,0,3,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,389,106,978,0,False,True,True,False,unweighted_publication_primary,-0.8568345430807226,-0.8568345430807226,0.1522560516996776,3.162277660168379,3.162277660168379,False,False,10000.0,389,106,0.6395889555516772,0.6395889555516772,0.7717461762872235,0.13215722073554637,0.8245614035087719,0.8245614035087719,0.8771929824561403,0.05263157894736836,0.4323633429188125,0.35326307433294507,0.30350484261756616,-0.04975823171537891,True,False,12,14,3.472346839124285e-07,0.3505361015741926,0.03182695398572832,0,4,2042,436a8e668d75a3bad0b27c67666152696525522e0499acc1e90fccd9ea6bd113
SR-MMP,HEPG2,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,458,37,978,0,False,True,True,False,unweighted_publication_primary,-0.9362013598587537,-0.9362013598587537,0.14542325266702127,3.162277660168379,3.162277660168379,False,False,10000.0,458,37,0.9073412698412698,0.9073412698412698,0.9833333333333333,0.07599206349206344,0.9555555555555556,0.9555555555555556,0.9925925925925926,0.03703703703703698,0.37260342337951974,0.3732506994587287,0.2451094942084091,-0.12814120525031958,True,False,10,12,8.577312343403809e-07,0.34771962574556886,0.029528688988648355,1,0,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22
SR-MMP,HEPG2,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,342,153,978,0,False,True,True,False,unweighted_publication_primary,-0.9582447331916972,-0.9582447331916972,0.024409938273798424,31.622776601683796,3.162277660168379,False,False,3162.277660168379,342,153,0.6014000802786656,0.6014000802786656,0.6277628555188803,0.026362775240214686,0.8054869006426099,0.8054869006426099,0.8255066732575383,0.020019772614928488,0.4785582432993214,0.43104516831588013,0.4134342229316832,-0.01761094538419694,True,False,6,8,1.6220671352363408e-07,0.3786974344470466,0.020178843988105655,1,1,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22
SR-MMP,HEPG2,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,401,94,978,0,False,True,True,False,unweighted_publication_primary,-0.8915649054909975,-0.8915649054909975,0.06442069779462713,10.0,3.162277660168379,False,False,3162.277660168379,401,94,0.5660041646072527,0.5660041646072527,0.7010435342823167,0.13503936967506402,0.8196491228070175,0.8196491228070175,0.9101754385964912,0.09052631578947368,0.46663377362489833,0.3986417082912758,0.35120536365910604,-0.04743634463216978,True,False,8,10,5.256295025242441e-07,0.37510874379826015,0.030547330039553344,1,2,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22
SR-MMP,HEPG2,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,388,107,978,0,False,True,True,False,unweighted_publication_primary,-0.8366640514828004,-0.8366640514828004,0.07109257973476779,10.0,1.0,False,False,3162.277660168379,388,107,0.642312130886497,0.642312130886497,0.6629937501910086,0.020681619304511623,0.8344827586206897,0.8344827586206897,0.8580459770114943,0.023563218390804663,0.4510218876991372,0.36287276140580893,0.3465378946718135,-0.016334866733995423,True,False,8,10,8.870477290617851e-07,0.3774746375576414,0.02118965203408152,1,3,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22
SR-MMP,HEPG2,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,391,104,978,0,False,True,True,False,unweighted_publication_primary,-0.8698544785436372,-0.8698544785436372,0.1557713221792394,3.162277660168379,1.0,False,False,10000.0,391,104,0.46895623090329086,0.46895623090329086,0.45135954246837456,-0.017596688434916297,0.7405572755417956,0.7405572755417956,0.761609907120743,0.021052631578947323,0.4924116650283908,0.41798095340319663,0.40842060523117885,-0.009560348172017785,True,False,11,13,6.638886499111749e-07,0.32356912538813587,0.023190269013866782,1,4,3042,e0818e939570ca92df4cfbb9ec1f568d397b2a2da5bd1341a32842c072fd3e22
