task,cell,variant,fold_id,outer_split_seed,inner_cv_seed_requested,inner_cv_seed_used,inner_cv_seed_search_attempts,solver,chemical_offset_frozen,chemical_offset_coefficient,stage2_model_spec,stage2_scaling_order,stage2_scaler_fit_matrix,stage2_scaler_fit_rows,stage2_scaler_apply_rows,stage2_scaler_n_genes,stage2_scaler_zero_sd_genes,intercept_penalized,calibration_intercept_fixed_for_beta,calibration_intercept_frozen,use_sample_weight,stage2_likelihood,null_intercept,bio_intercept,beta_l2_norm,alpha_star_outer,alpha_min_loss,alpha_boundary_hit,beta_saturated_no_bio_signal,saturation_start_alpha,n_outer_train,n_outer_test,auprc_stage1_raw,auprc_chem,auprc_bio,delta_auprc,auroc_stage1_raw,auroc_chem,auroc_bio,delta_auroc,log_loss_stage1_raw,log_loss_chem,log_loss_bio,delta_log_loss,final_success,final_retry_used,final_n_iterations,final_n_function_evaluations,final_gradient_inf_norm,final_objective,final_elapsed_seconds,repeat_id,outer_fold_id,outer_seed_requested,outer_split_signature
SR-p53,HA1E,standardized,0,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,690,194,978,0,False,True,True,False,unweighted_publication_primary,-1.6037780095511562,-1.6037780095511562,6.919344388033761e-09,100000000.0,1.0,True,True,1000.0,690,194,0.22882757501556994,0.22882757501556994,0.22882757501556994,0.0,0.729624060150376,0.729624060150376,0.729624060150376,0.0,0.4479423730426445,0.29723311434205707,0.2972331129839311,-1.3581259450390348e-09,True,False,1,3,4.9335061370371636e-09,0.28549963719932026,0.023505555000156164,0,0,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608
SR-p53,HA1E,standardized,1,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,711,173,978,0,False,True,True,False,unweighted_publication_primary,-1.736735525730471,-1.736735525730471,0.042157420711705855,10.0,0.31622776601683794,False,False,1000.0,711,173,0.4599991476819878,0.4599991476819878,0.5210153278543775,0.061016180172389745,0.7600202942668696,0.7600202942668696,0.7968036529680366,0.036783358701167,0.48689606848650396,0.39986264238014324,0.37863723693251244,-0.021225405447630796,True,False,7,9,8.923451170171626e-08,0.2512136430247601,0.06434103194624186,0,1,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608
SR-p53,HA1E,standardized,2,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,622,262,978,0,False,True,True,False,unweighted_publication_primary,-1.481139797637779,-1.481139797637779,6.53164299678435e-09,100000000.0,3.162277660168379,True,True,1000.0,622,262,0.4060951726555508,0.4060951726555508,0.4060951726555508,0.0,0.8273770846870262,0.8273770846870262,0.8273770846870262,0.0,0.4226415689921939,0.2286308552807357,0.22863085282298237,-2.4577533341840763e-09,True,False,1,3,4.792282095461564e-09,0.3139111909508335,0.01281335495878011,0,2,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608
SR-p53,HA1E,standardized,3,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,718,166,978,0,False,True,True,False,unweighted_publication_primary,-1.5366110164262083,-1.5366110164262083,0.016821623406153674,31.622776601683796,1.0,False,False,1000.0,718,166,0.40544811289674304,0.40544811289674304,0.4624239726817977,0.05697585978505465,0.8225108225108225,0.8225108225108225,0.8425324675324675,0.02002164502164494,0.4141155927821693,0.22443148665426677,0.2198569673821741,-0.004574519272092653,True,False,5,7,4.486223423721958e-07,0.2976095285072367,0.032955312984995544,0,3,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608
SR-p53,HA1E,standardized,4,2042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,795,89,978,0,False,True,True,False,unweighted_publication_primary,-1.6106088505294043,-1.6106088505294043,0.04167458767494694,10.0,1.0,False,False,1000.0,795,89,0.2716627282465408,0.2716627282465408,0.3182111432580769,0.046548415011536115,0.6883116883116883,0.6883116883116883,0.7435064935064936,0.05519480519480524,0.5306275157196046,0.372322477312786,0.3570569904211063,-0.015265486891679725,True,False,7,9,3.667906654470851e-07,0.26700830780659324,0.04305152199231088,0,4,2042,92fe35c9640d1137012a0f90323d9158448572d74797d29848056fd3a5590608
SR-p53,HA1E,standardized,0,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,624,260,978,0,False,True,True,False,unweighted_publication_primary,-1.6856322257129042,-1.6856322257129042,6.469084695312212e-09,100000000.0,1.0,True,True,1000.0,624,260,0.31605034476525057,0.31605034476525057,0.31605034476525057,0.0,0.7623152709359605,0.7623152709359605,0.7623152709359605,0.0,0.4280320141315102,0.31151481267805176,0.3115148099655967,-2.712455038356154e-09,True,False,1,3,4.416789427252876e-09,0.27881725301910376,0.015723461052402854,1,0,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5
SR-p53,HA1E,standardized,1,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,716,168,978,0,False,True,True,False,unweighted_publication_primary,-1.62855908332792,-1.62855908332792,0.016054626244918897,31.622776601683796,0.31622776601683794,False,False,1000.0,716,168,0.34796959775992925,0.34796959775992925,0.4080989811337795,0.060129383373850265,0.8117913832199546,0.8117913832199546,0.8299319727891156,0.01814058956916098,0.4807727737466966,0.32805408510560785,0.32021352065417413,-0.007840564451433718,True,False,5,7,4.4951950329760737e-07,0.2742502702569348,0.034530629054643214,1,1,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5
SR-p53,HA1E,standardized,2,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,723,161,978,0,False,True,True,False,unweighted_publication_primary,-1.5373043378365554,-1.5373043378365554,0.10538969929277354,3.162277660168379,1.0,False,False,10000.0,723,161,0.3411684482632659,0.3411684482632659,0.3955183947503102,0.054349946487044276,0.7094594594594594,0.7094594594594594,0.7541580041580042,0.04469854469854473,0.4545345283882162,0.255958176651466,0.24194350160345804,-0.014014675048007935,True,False,11,13,7.299782793859788e-07,0.26605902488756633,0.10449074895586818,1,2,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5
SR-p53,HA1E,standardized,3,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,682,202,978,0,False,True,True,False,unweighted_publication_primary,-1.4865329715898483,-1.4865329715898483,0.017035977317512416,31.622776601683796,1.0,False,False,3162.277660168379,682,202,0.4338075823085111,0.4338075823085111,0.5023936776638843,0.06858609535537324,0.8180091185410334,0.8180091185410334,0.833966565349544,0.015957446808510634,0.4368513084097432,0.22498646074561995,0.2197584996189125,-0.005227961126707453,True,False,5,7,2.6481650231002796e-07,0.30207839463820785,0.04709972406271845,1,3,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5
SR-p53,HA1E,standardized,4,3042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,791,93,978,0,False,True,True,False,unweighted_publication_primary,-1.6376615409205393,-1.6376615409205393,6.056166988688446e-09,100000000.0,1.0,True,True,3162.277660168379,791,93,0.42458907088027975,0.42458907088027975,0.42458907088027975,0.0,0.7951923076923078,0.7951923076923078,0.7951923076923078,0.0,0.47691178024053044,0.36241839060650666,0.3624183880501403,-2.556366340833449e-09,True,False,1,3,4.151426750975684e-09,0.2794236051950822,0.030847690999507904,1,4,3042,d6f6bffe9eb61c817fb182b6b80c86ff3ec5395a0fb973ab199a3dea59205aa5
SR-p53,HA1E,standardized,0,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,696,188,978,0,False,True,True,False,unweighted_publication_primary,-1.5761341689710786,-1.5761341689710786,0.00620045982776562,100.0,1.0,False,False,3162.277660168379,696,188,0.3107521430945802,0.3107521430945802,0.31121277909231787,0.0004606359977376573,0.7960784313725491,0.7960784313725491,0.8058823529411764,0.009803921568627305,0.44678532535358056,0.27639572775682814,0.2751105487011181,-0.0012851790557100173,True,False,4,6,3.743905803675618e-07,0.28912671745302715,0.05265363003127277,2,0,4042,4928e3045671f92875acf406b665f4d433a9ef12af40fa50cb6dec0b7a9e24df
SR-p53,HA1E,standardized,1,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,619,265,978,0,False,True,True,False,unweighted_publication_primary,-1.6930584457691202,-1.6930584457691202,0.015129987174130452,31.622776601683796,1.0,False,False,1000.0,619,265,0.4751018874295658,0.4751018874295658,0.5099760056329293,0.03487411820336356,0.797163120567376,0.797163120567376,0.823404255319149,0.02624113475177292,0.42313190225208136,0.3051081459084658,0.2973058645595412,-0.007802281348924578,True,False,5,7,5.097804118420202e-07,0.2773244124088812,0.02653891791123897,2,1,4042,4928e3045671f92875acf406b665f4d433a9ef12af40fa50cb6dec0b7a9e24df
SR-p53,HA1E,standardized,2,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,708,176,978,0,False,True,True,False,unweighted_publication_primary,-1.539443443497343,-1.539443443497343,0.04640309303278423,10.0,1.0,False,False,3162.277660168379,708,176,0.19394068656512833,0.19394068656512833,0.2339761658711913,0.040035479306062965,0.7059082892416226,0.7059082892416226,0.7116402116402116,0.0057319223985889955,0.4584366324197395,0.26555657309709163,0.2640341812920015,-0.0015223918050901175,True,False,7,9,7.958899047692813e-07,0.2787340470340001,0.08033309108577669,2,2,4042,4928e3045671f92875acf406b665f4d433a9ef12af40fa50cb6dec0b7a9e24df
SR-p53,HA1E,standardized,3,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,723,161,978,0,False,True,True,False,unweighted_publication_primary,-1.5860787555085374,-1.5860787555085374,0.10299398666995158,3.162277660168379,1.0,False,False,3162.277660168379,723,161,0.3154406114940168,0.3154406114940168,0.3911441536490735,0.0757035421550567,0.7508169934640523,0.7508169934640523,0.7859477124183007,0.03513071895424846,0.47484631325945387,0.30247742457065835,0.28412821540940936,-0.01834920916124899,True,False,10,12,9.021987775418433e-07,0.2572227851867209,0.05347628495655954,2,3,4042,4928e3045671f92875acf406b665f4d433a9ef12af40fa50cb6dec0b7a9e24df
SR-p53,HA1E,standardized,4,4042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,790,94,978,0,False,True,True,False,unweighted_publication_primary,-1.5867115026405196,-1.5867115026405196,0.04225557094249517,10.0,0.31622776601683794,False,False,316.2277660168379,790,94,0.426847990072306,0.426847990072306,0.5481519942046258,0.12130400413231979,0.8630952380952381,0.8630952380952381,0.9261904761904761,0.06309523809523798,0.47419435735486204,0.29014331138067334,0.2719790731834172,-0.018164238197256155,True,False,7,9,2.482804913848946e-07,0.2763365147322586,0.036268732976168394,2,4,4042,4928e3045671f92875acf406b665f4d433a9ef12af40fa50cb6dec0b7a9e24df
SR-p53,HA1E,standardized,0,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,694,190,978,0,False,True,True,False,unweighted_publication_primary,-1.5656187814320912,-1.5656187814320912,0.10838258043991315,3.162277660168379,0.31622776601683794,False,False,1000.0,694,190,0.31310648667958346,0.31310648667958346,0.3597152382049407,0.04660875152535726,0.6892959770114943,0.6892959770114943,0.7359913793103449,0.04669540229885061,0.4364729302211148,0.2671664043693075,0.252577919966376,-0.014588484402931479,True,False,10,12,8.339427308989844e-07,0.2639230651354971,0.04733937093988061,3,0,5042,d5149bb4048eb18370f0b4075796a7920166248caaeab6e673155bff8f9c45d0
SR-p53,HA1E,standardized,1,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,723,161,978,0,False,True,True,False,unweighted_publication_primary,-1.59307607644263,-1.59307607644263,7.613020582115305e-09,100000000.0,1.0,True,True,1000.0,723,161,0.22461897811212592,0.22461897811212592,0.22461897811212592,0.0,0.7050653594771242,0.7050653594771242,0.7050653594771242,0.0,0.48284076186495434,0.3144331601579501,0.3144331617170259,1.559075812895827e-09,True,False,1,3,5.598558856095837e-09,0.2821991778836887,0.023888770956546068,3,1,5042,d5149bb4048eb18370f0b4075796a7920166248caaeab6e673155bff8f9c45d0
SR-p53,HA1E,standardized,2,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,716,168,978,0,False,True,True,False,unweighted_publication_primary,-1.6285053564561371,-1.6285053564561371,0.1039371767481525,3.162277660168379,0.31622776601683794,False,False,1000.0,716,168,0.3297869993704516,0.3297869993704516,0.4705726169351469,0.14078561756469532,0.7608108108108108,0.7608108108108108,0.8391891891891892,0.07837837837837835,0.47747628714206175,0.3294628805580705,0.2982095569729293,-0.03125332358514121,True,False,10,12,4.1925613272764117e-07,0.25174583470271855,0.05143129103817046,3,2,5042,d5149bb4048eb18370f0b4075796a7920166248caaeab6e673155bff8f9c45d0
SR-p53,HA1E,standardized,3,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,613,271,978,0,False,True,True,False,unweighted_publication_primary,-1.5276066690949768,-1.5276066690949768,0.016047079243241263,31.622776601683796,1.0,False,False,1000.0,613,271,0.41624906320940624,0.41624906320940624,0.4710110404721474,0.05476197726274118,0.8311427528294998,0.8311427528294998,0.8543263964950712,0.023183643665571463,0.41686378965135445,0.24063245142968404,0.2344058263053384,-0.0062266251243456305,True,False,5,7,5.847775373379882e-07,0.30454102428084046,0.026560549973510206,3,3,5042,d5149bb4048eb18370f0b4075796a7920166248caaeab6e673155bff8f9c45d0
SR-p53,HA1E,standardized,4,5042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,790,94,978,0,False,True,True,False,unweighted_publication_primary,-1.6421507434040237,-1.6421507434040237,0.2120017939356647,1.0,1.0,False,False,10000.0,790,94,0.523900238232945,0.523900238232945,0.7165045782274579,0.19260433999451299,0.8830357142857143,0.8830357142857143,0.8910714285714285,0.008035714285714257,0.4678898506130324,0.35434865544317545,0.28381281821642196,-0.0705358372267535,True,False,16,18,7.222814409745676e-07,0.23622444578698776,0.13799766695592552,3,4,5042,d5149bb4048eb18370f0b4075796a7920166248caaeab6e673155bff8f9c45d0
SR-p53,HA1E,standardized,0,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,637,247,978,0,False,True,True,False,unweighted_publication_primary,-1.4860820157137147,-1.4860820157137147,0.11120109928182105,3.162277660168379,0.31622776601683794,False,False,1000.0,637,247,0.4983221098793708,0.4983221098793708,0.5630153287260866,0.0646932188467158,0.8576839826839827,0.8576839826839827,0.9502164502164503,0.09253246753246758,0.39333519073153167,0.20405932825563458,0.1844486334115547,-0.019610694844079873,True,False,11,13,7.766160084153595e-07,0.29108485047533994,0.08379452000372112,4,0,6042,c7609a26ea58d53648eeb6422147c1c3c817e653cf325c259a2b1a3cf92a7bb1
SR-p53,HA1E,standardized,1,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,702,182,978,0,False,True,True,False,unweighted_publication_primary,-1.6370023884157783,-1.6370023884157783,0.22637969806036365,1.0,1.0,False,False,31622.776601683796,702,182,0.4667104966578,0.4667104966578,0.512991601566799,0.046281104908999005,0.8033126293995859,0.8033126293995859,0.8234250221827861,0.020112392783200206,0.4518872318066752,0.3122556061123374,0.28004103869813346,-0.03221456741420392,True,False,17,19,1.6072114261515835e-07,0.2301120725010588,0.08294550806749612,4,1,6042,c7609a26ea58d53648eeb6422147c1c3c817e653cf325c259a2b1a3cf92a7bb1
SR-p53,HA1E,standardized,2,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,701,183,978,0,False,True,True,False,unweighted_publication_primary,-1.7059572304142683,-1.7059572304142683,0.10238465094105131,3.162277660168379,1.0,False,False,3162.277660168379,701,183,0.3221183659407274,0.3221183659407274,0.4090365990173519,0.0869182330766245,0.742165242165242,0.742165242165242,0.7841880341880343,0.042022792022792244,0.5036633116462831,0.3916047795163572,0.364216323586801,-0.027388455929556188,True,False,10,12,3.3896884978415476e-07,0.2355097962612148,0.057886062073521316,4,2,6042,c7609a26ea58d53648eeb6422147c1c3c817e653cf325c259a2b1a3cf92a7bb1
SR-p53,HA1E,standardized,3,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,718,166,978,0,False,True,True,False,unweighted_publication_primary,-1.524901996009366,-1.524901996009366,0.10560216015187,3.162277660168379,0.31622776601683794,False,False,1000.0,718,166,0.20910527879838023,0.20910527879838023,0.3647989388141981,0.1556936600158179,0.6515151515151515,0.6515151515151515,0.6996753246753247,0.04816017316017318,0.4548757512966707,0.25314592686413456,0.237810177370424,-0.015335749493710554,True,False,11,13,9.06242977376237e-07,0.26771045344995203,0.05176078190561384,4,3,6042,c7609a26ea58d53648eeb6422147c1c3c817e653cf325c259a2b1a3cf92a7bb1
SR-p53,HA1E,standardized,4,6042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,778,106,978,0,False,True,True,False,unweighted_publication_primary,-1.619398402227074,-1.619398402227074,0.09913166505287398,3.162277660168379,1.0,False,False,3162.277660168379,778,106,0.3493928189702139,0.3493928189702139,0.40490194862260087,0.05550912965238697,0.7245657568238213,0.7245657568238213,0.7626137303556658,0.038047973531844526,0.47884848631375077,0.33859659325164343,0.3162189386797633,-0.022377654571880123,True,False,11,13,6.027195569788257e-07,0.2545575248130737,0.0626408780226484,4,4,6042,c7609a26ea58d53648eeb6422147c1c3c817e653cf325c259a2b1a3cf92a7bb1
SR-p53,HA1E,standardized,0,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,593,291,978,0,False,True,True,False,unweighted_publication_primary,-1.5969689029012168,-1.5969689029012168,0.1152084040573605,3.162277660168379,0.31622776601683794,False,False,1000.0,593,291,0.29454622209943954,0.29454622209943954,0.36712679145105376,0.07258056935161422,0.7230639730639731,0.7230639730639731,0.785213243546577,0.06214927048260388,0.42979484053102135,0.2795555847845859,0.2626755596716798,-0.016880025112906094,True,False,10,12,7.519680812334562e-07,0.2585281018212877,0.04254981398116797,5,0,7042,7112d767f06c6093fa4f9823368084cd57f115551dfb4b520cbfbf3a169964b0
SR-p53,HA1E,standardized,1,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,718,166,978,0,False,True,True,False,unweighted_publication_primary,-1.5959201602362252,-1.5959201602362252,0.016189059564244126,31.622776601683796,1.0,False,False,1000.0,718,166,0.3706632563873449,0.3706632563873449,0.403855041942443,0.03319178555509811,0.8400900900900901,0.8400900900900901,0.8427177177177176,0.0026276276276275823,0.46085489678505176,0.2929363104161288,0.2870639827767466,-0.005872327639382169,True,False,5,7,2.1761685055701752e-07,0.2820040343490687,0.02956257702317089,5,1,7042,7112d767f06c6093fa4f9823368084cd57f115551dfb4b520cbfbf3a169964b0
SR-p53,HA1E,standardized,2,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,709,175,978,0,False,True,True,False,unweighted_publication_primary,-1.6159701843896352,-1.6159701843896352,6.6379335894660195e-09,100000000.0,1.0,True,True,1000.0,709,175,0.4438037793698687,0.4438037793698687,0.4438037793698687,0.0,0.8336707152496626,0.8336707152496626,0.8336707152496626,0.0,0.4421822366149107,0.2929927247799113,0.2929927236305078,-1.149403461297993e-09,True,False,1,3,4.753789809497019e-09,0.2868826079448139,0.030436096945777535,5,2,7042,7112d767f06c6093fa4f9823368084cd57f115551dfb4b520cbfbf3a169964b0
SR-p53,HA1E,standardized,3,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,735,149,978,0,False,True,True,False,unweighted_publication_primary,-1.5695483869554827,-1.5695483869554827,0.04342817086888999,10.0,1.0,False,False,3162.277660168379,735,149,0.32295707963733733,0.32295707963733733,0.3951332940401655,0.07217621440282818,0.6656084656084656,0.6656084656084656,0.7042328042328043,0.03862433862433867,0.47635813756334294,0.2917025233023143,0.27948527198028816,-0.012217251322026113,True,False,7,9,3.4497828864388236e-07,0.2748811686246821,0.04286042496096343,5,3,7042,7112d767f06c6093fa4f9823368084cd57f115551dfb4b520cbfbf3a169964b0
SR-p53,HA1E,standardized,4,7042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,781,103,978,0,False,True,True,False,unweighted_publication_primary,-1.5899826138149704,-1.5899826138149704,0.04267253358157693,10.0,1.0,False,False,3162.277660168379,781,103,0.3484244357450099,0.3484244357450099,0.46460320725026605,0.11617877150525613,0.8685770750988142,0.8685770750988142,0.9150197628458497,0.04644268774703553,0.46508255562994844,0.2914180491013496,0.2777326347649379,-0.013685414336411683,True,False,7,9,2.43823895151353e-07,0.27553985938854797,0.04133189795538783,5,4,7042,7112d767f06c6093fa4f9823368084cd57f115551dfb4b520cbfbf3a169964b0
SR-p53,HA1E,standardized,0,8042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,722,162,978,0,False,True,True,False,unweighted_publication_primary,-1.6745686341738053,-1.6745686341738053,6.011910616974115e-09,100000000.0,1.0,True,True,1000.0,722,162,0.32178892773005097,0.32178892773005097,0.32178892773005097,0.0,0.7061688311688312,0.7061688311688312,0.7061688311688312,0.0,0.4912200102906901,0.3759526876782593,0.37595268477912336,-2.8991359313224052e-09,True,False,1,3,3.6131727774654787e-09,0.2686975226385559,0.021488412050530314,6,0,8042,9fe26d212550a363c5cd43c0ba5deb04f6aa023f9a8b774d1e3a707d41ad0eb1
SR-p53,HA1E,standardized,1,8042,42,42,1,lbfgs,True,1.0,frozen_offset_fixed_calibration_intercept_ridge_biology_v3,raw_then_fit_gene_mean_sd_on_training_matrix,raw_outer_training,698,186,978,0,False,True,True,False,unweighted_publication_primary,-1.532962348217046,-1.532962348217046,0.0457168977114833,10.0,0.31622776601683794,False,False,3162.277660168379,698,186,0.2957272147061404,0.2957272147061404,0.3068175914682455,0.011090376762105114,0.757504873294347,0.757504873294347,0.7879142300194932,0.03040935672514622,0.4498194028861803,0.25568146967696453,0.24883418519317196,-0.006847284483792571,True,False,7,9,5.284450598393164e-07,0.28259081079949666,0.04455909493844956,6,1,8042,9fe26d212550a363c5cd43c0ba5deb04f6aa023f9a8b774d1e3a707d41ad0eb1
