family,task,k4_rank,model_key,category,model,single_model_auprc
NR,NR-AR,1,GIN_Pretrained,GNN (MPNN),GIN,0.817776855311102
NR,NR-AR,2,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.8019087308480071
NR,NR-AR,3,Morgan_LR,Classical ML,Morgan + logistic regression,0.775256533589867
NR,NR-AR,4,Morgan_XGB,Classical ML,Morgan + XGBoost,0.7643470645929662
NR,NR-AR-LBD,1,Morgan_XGB,Classical ML,Morgan + XGBoost,0.3811513652805788
NR,NR-AR-LBD,2,MACCS_XGB,Classical ML,MACCS + XGBoost,0.37411648822565297
NR,NR-AR-LBD,3,GIN_Pretrained,GNN (MPNN),GIN,0.37006057711373475
NR,NR-AR-LBD,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.36739314190348105
NR,NR-AhR,1,GIN_Pretrained,GNN (MPNN),GIN,0.5121548754145218
NR,NR-AhR,2,Morgan_LR,Classical ML,Morgan + logistic regression,0.49057264026159025
NR,NR-AhR,3,RDKit_XGB,Classical ML,RDKit descriptors + XGBoost,0.471657932889504
NR,NR-AhR,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.4504569580454566
NR,NR-Aromatase,1,Morgan_XGB,Classical ML,Morgan + XGBoost,0.3696321099986692
NR,NR-Aromatase,2,MACCS_XGB,Classical ML,MACCS + XGBoost,0.36008722254043785
NR,NR-Aromatase,3,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.3500284648978366
NR,NR-Aromatase,4,GIN_Pretrained,GNN (MPNN),GIN,0.3085363211915259
NR,NR-ER,1,ChemBERTa_Pretrained,BERT,ChemBERTa,0.4154323206411537
NR,NR-ER,2,GCN_Pretrained,GNN (MPNN),GCN,0.3879599370641601
NR,NR-ER,3,GIN_Pretrained,GNN (MPNN),GIN,0.38635768011284777
NR,NR-ER,4,MACCS_XGB,Classical ML,MACCS + XGBoost,0.3841544438880541
NR,NR-ER-LBD,1,MACCS_XGB,Classical ML,MACCS + XGBoost,0.26413391829368127
NR,NR-ER-LBD,2,RDKit_XGB,Classical ML,RDKit descriptors + XGBoost,0.19476850826019915
NR,NR-ER-LBD,3,RDKit_LR,Classical ML,RDKit descriptors + logistic regression,0.19354955113292655
NR,NR-ER-LBD,4,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.18272217219692272
NR,NR-PPAR-gamma,1,Chemprop,GNN (D-MPNN),Chemprop,0.30810101447094107
NR,NR-PPAR-gamma,2,Morgan_XGB,Classical ML,Morgan + XGBoost,0.24569898319326236
NR,NR-PPAR-gamma,3,Morgan_LR,Classical ML,Morgan + logistic regression,0.23390121324169968
NR,NR-PPAR-gamma,4,RDKit_LR,Classical ML,RDKit descriptors + logistic regression,0.19304997773396115
SR,SR-ARE,1,GIN_Pretrained,GNN (MPNN),GIN,0.5687786693405894
SR,SR-ARE,2,MACCS_XGB,Classical ML,MACCS + XGBoost,0.5389238898457006
SR,SR-ARE,3,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.5082369807468202
SR,SR-ARE,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.5044406071320084
SR,SR-ATAD5,1,GIN_Pretrained,GNN (MPNN),GIN,0.21238923560459239
SR,SR-ATAD5,2,Morgan_LR,Classical ML,Morgan + logistic regression,0.20500528638531018
SR,SR-ATAD5,3,Chemprop,GNN (D-MPNN),Chemprop,0.18799192779252827
SR,SR-ATAD5,4,ChemBERTa_Pretrained,BERT,ChemBERTa,0.17978563782920184
SR,SR-HSE,1,GIN_Pretrained,GNN (MPNN),GIN,0.45607234676732716
SR,SR-HSE,2,GCN_Pretrained,GNN (MPNN),GCN,0.3826567350508981
SR,SR-HSE,3,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.3206088715514318
SR,SR-HSE,4,Chemprop,GNN (D-MPNN),Chemprop,0.31270463935323206
SR,SR-MMP,1,GCN_Pretrained,GNN (MPNN),GCN,0.5719377520056399
SR,SR-MMP,2,ChemBERTa_Pretrained,BERT,ChemBERTa,0.5622909562110147
SR,SR-MMP,3,RDKit_LR,Classical ML,RDKit descriptors + logistic regression,0.5515909858942347
SR,SR-MMP,4,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.5444131901285467
SR,SR-p53,1,GIN_Pretrained,GNN (MPNN),GIN,0.43601606477242
SR,SR-p53,2,GraphSAGE_Pretrained,GNN (MPNN),GraphSAGE,0.4306092020404101
SR,SR-p53,3,Chemprop,GNN (D-MPNN),Chemprop,0.3970786450591669
SR,SR-p53,4,GCN_Pretrained,GNN (MPNN),GCN,0.3895603116192398
