analysis,family,task,cell_line,n_repeats,n_outer_folds,n_labeled,n_positive,n_negative,min_outer_train,max_outer_train,min_outer_train_positive,max_outer_train_positive,min_outer_train_negative,max_outer_train_negative,min_outer_test,max_outer_test,min_outer_test_positive,max_outer_test_positive,min_outer_test_negative,max_outer_test_negative
primary_6h,NR,NR-AR,HA1E,20,100,968,72,896,641,878,43,70,585,813,90,327,2,29,83,311
primary_6h,NR,NR-AR,HEPG2,20,100,668,46,622,463,601,24,44,427,560,67,205,2,22,62,195
primary_6h,NR,NR-AR,HT29,20,100,960,72,888,661,867,43,70,612,803,93,299,2,29,85,276
primary_6h,NR,NR-AR,MCF7,20,100,1259,82,1177,834,1159,50,79,775,1081,100,425,3,32,96,402
primary_6h,NR,NR-AR-LBD,HA1E,20,100,869,49,820,576,794,25,47,542,748,75,293,2,24,72,278
primary_6h,NR,NR-AR-LBD,HEPG2,20,100,598,37,561,407,539,21,35,373,507,59,191,2,16,54,188
primary_6h,NR,NR-AR-LBD,HT29,20,100,862,47,815,588,783,23,45,557,741,79,274,2,24,74,258
primary_6h,NR,NR-AR-LBD,MCF7,20,100,1145,53,1092,749,1059,29,51,711,1010,86,396,2,24,82,381
primary_6h,NR,NR-AhR,HA1E,20,100,849,102,747,556,775,66,95,486,686,74,293,7,36,61,261
primary_6h,NR,NR-AhR,HEPG2,20,100,585,65,520,395,532,39,63,346,473,53,190,2,26,47,174
primary_6h,NR,NR-AhR,HT29,20,100,841,95,746,569,771,62,93,498,681,70,272,2,33,65,248
primary_6h,NR,NR-AhR,MCF7,20,100,1111,112,999,729,1027,73,106,649,929,84,382,6,39,70,350
primary_6h,NR,NR-Aromatase,HA1E,20,100,759,63,696,493,697,39,60,446,643,62,266,3,24,53,250
primary_6h,NR,NR-Aromatase,HEPG2,20,100,512,47,465,342,473,28,45,311,429,39,170,2,19,36,154
primary_6h,NR,NR-Aromatase,HT29,20,100,758,63,695,503,696,38,61,453,641,62,255,2,25,54,242
primary_6h,NR,NR-Aromatase,MCF7,20,100,1021,76,945,648,949,49,72,590,883,72,373,4,27,62,355
primary_6h,NR,NR-ER,HA1E,20,100,805,132,673,534,740,86,127,438,620,65,271,5,46,53,235
primary_6h,NR,NR-ER,HEPG2,20,100,540,92,448,363,493,60,88,300,409,47,177,4,32,39,148
primary_6h,NR,NR-ER,HT29,20,100,799,128,671,536,735,78,120,445,619,64,263,8,50,52,226
primary_6h,NR,NR-ER,MCF7,20,100,1067,155,912,696,997,91,149,587,855,70,371,6,64,57,325
primary_6h,NR,NR-ER-LBD,HA1E,20,100,907,55,852,614,826,31,53,572,773,81,293,2,24,79,280
primary_6h,NR,NR-ER-LBD,HEPG2,20,100,620,39,581,433,560,22,37,406,523,60,187,2,17,58,175
primary_6h,NR,NR-ER-LBD,HT29,20,100,902,53,849,610,820,29,51,578,771,82,292,2,24,78,271
primary_6h,NR,NR-ER-LBD,MCF7,20,100,1194,61,1133,809,1104,35,59,769,1045,90,385,2,26,88,364
primary_6h,NR,NR-PPAR-gamma,HA1E,20,100,811,34,777,556,746,20,32,532,714,65,255,2,14,63,245
primary_6h,NR,NR-PPAR-gamma,HEPG2,20,100,552,19,533,376,503,12,17,360,489,49,176,2,7,44,173
primary_6h,NR,NR-PPAR-gamma,HT29,20,100,803,29,774,536,739,18,27,512,719,64,267,2,11,55,262
primary_6h,NR,NR-PPAR-gamma,MCF7,20,100,1073,34,1039,687,1004,22,32,664,973,69,386,2,12,66,375
primary_6h,SR,SR-ARE,HA1E,20,100,690,136,554,448,640,90,127,352,518,50,242,9,46,36,202
primary_6h,SR,SR-ARE,HEPG2,20,100,451,98,353,302,421,64,92,230,334,30,149,6,34,19,123
primary_6h,SR,SR-ARE,HT29,20,100,682,129,553,443,633,83,121,353,516,49,239,8,46,37,200
primary_6h,SR,SR-ARE,MCF7,20,100,923,160,763,579,874,102,154,467,726,49,344,6,58,37,296
primary_6h,SR,SR-ATAD5,HA1E,20,100,911,50,861,604,828,30,47,570,785,83,307,3,20,76,291
primary_6h,SR,SR-ATAD5,HEPG2,20,100,619,33,586,427,557,18,31,404,531,62,192,2,15,55,182
primary_6h,SR,SR-ATAD5,HT29,20,100,903,50,853,601,818,30,47,562,776,85,302,3,20,77,291
primary_6h,SR,SR-ATAD5,MCF7,20,100,1196,57,1139,770,1102,34,53,734,1052,94,426,4,23,87,405
primary_6h,SR,SR-HSE,HA1E,20,100,814,52,762,544,744,32,50,511,697,70,270,2,20,65,251
primary_6h,SR,SR-HSE,HEPG2,20,100,547,30,517,367,495,17,28,345,470,52,180,2,13,47,172
primary_6h,SR,SR-HSE,HT29,20,100,806,50,756,530,737,29,48,498,695,69,276,2,21,61,258
primary_6h,SR,SR-HSE,MCF7,20,100,1077,64,1013,696,1003,38,62,654,947,74,381,2,26,66,359
primary_6h,SR,SR-MMP,HA1E,20,100,723,129,594,463,671,81,123,382,555,52,260,6,48,39,212
primary_6h,SR,SR-MMP,HEPG2,20,100,495,102,393,321,457,64,96,249,367,38,174,6,38,26,144
primary_6h,SR,SR-MMP,HT29,20,100,717,121,596,467,666,76,115,385,557,51,250,6,45,39,211
primary_6h,SR,SR-MMP,MCF7,20,100,958,143,815,610,903,89,137,503,772,55,348,6,54,43,312
primary_6h,SR,SR-p53,HA1E,20,100,884,89,795,587,805,59,84,523,727,79,297,5,30,68,272
primary_6h,SR,SR-p53,HEPG2,20,100,603,64,539,407,544,38,60,362,488,59,196,4,26,51,177
primary_6h,SR,SR-p53,HT29,20,100,877,85,792,594,799,58,78,527,723,78,283,7,27,69,265
primary_6h,SR,SR-p53,MCF7,20,100,1158,100,1058,755,1073,66,96,681,980,85,403,4,34,78,377
paired_6h_24h,NR,NR-AR,HA1E,20,100,830,59,771,557,744,33,57,510,689,86,273,2,26,82,261
paired_6h_24h,NR,NR-AR,HT29,20,100,585,44,541,407,517,26,41,374,479,68,178,3,18,62,167
paired_6h_24h,NR,NR-AR,MCF7,20,100,1243,78,1165,813,1131,42,76,762,1061,112,430,2,36,104,403
paired_6h_24h,NR,NR-AR-LBD,HA1E,20,100,747,39,708,511,680,21,37,479,645,67,236,2,18,63,229
paired_6h_24h,NR,NR-AR-LBD,HT29,20,100,523,19,504,361,466,11,17,346,451,57,162,2,8,53,158
paired_6h_24h,NR,NR-AR-LBD,MCF7,20,100,1129,51,1078,750,1039,20,49,705,990,90,379,2,31,88,373
paired_6h_24h,NR,NR-AhR,HA1E,20,100,727,91,636,487,665,59,86,420,582,62,240,5,32,54,216
paired_6h_24h,NR,NR-AhR,HT29,20,100,516,63,453,353,464,40,60,304,410,52,163,3,23,43,149
paired_6h_24h,NR,NR-AhR,MCF7,20,100,1099,111,988,717,1011,75,108,638,912,88,382,3,36,76,350
paired_6h_24h,NR,NR-Aromatase,HA1E,20,100,655,57,598,432,602,34,54,392,550,53,223,3,23,48,206
paired_6h_24h,NR,NR-Aromatase,HT29,20,100,475,45,430,323,430,27,43,291,390,45,152,2,18,40,139
paired_6h_24h,NR,NR-Aromatase,MCF7,20,100,1012,76,936,654,940,49,73,599,871,72,358,3,27,65,337
paired_6h_24h,NR,NR-ER,HA1E,20,100,689,112,577,451,637,68,107,382,534,52,238,5,44,43,195
paired_6h_24h,NR,NR-ER,HT29,20,100,487,76,411,334,441,49,72,276,372,46,153,4,27,39,135
paired_6h_24h,NR,NR-ER,MCF7,20,100,1054,154,900,673,978,96,148,574,834,76,381,6,58,66,326
paired_6h_24h,NR,NR-ER-LBD,HA1E,20,100,772,40,732,518,696,22,38,496,663,76,254,2,18,69,236
paired_6h_24h,NR,NR-ER-LBD,HT29,20,100,547,25,522,371,488,14,23,353,468,59,176,2,11,54,169
paired_6h_24h,NR,NR-ER-LBD,MCF7,20,100,1178,59,1119,806,1073,37,57,759,1021,105,372,2,22,98,360
paired_6h_24h,NR,NR-PPAR-gamma,HA1E,20,100,696,29,667,463,634,18,27,444,609,62,233,2,11,58,223
paired_6h_24h,NR,NR-PPAR-gamma,HT29,20,100,483,17,466,329,436,10,15,314,422,47,154,2,7,44,152
paired_6h_24h,NR,NR-PPAR-gamma,MCF7,20,100,1060,33,1027,676,987,20,31,653,958,73,384,2,13,69,374
paired_6h_24h,SR,SR-ARE,HA1E,20,100,584,118,466,377,537,78,107,299,436,47,207,11,40,30,167
paired_6h_24h,SR,SR-ARE,HT29,20,100,416,80,336,280,383,51,74,222,314,33,136,6,29,22,114
paired_6h_24h,SR,SR-ARE,MCF7,20,100,913,159,754,588,857,101,152,481,712,56,325,7,58,42,273
paired_6h_24h,SR,SR-ATAD5,HA1E,20,100,778,43,735,525,700,25,41,498,661,78,253,2,18,74,237
paired_6h_24h,SR,SR-ATAD5,HT29,20,100,544,30,514,372,485,15,28,353,459,59,172,2,15,55,161
paired_6h_24h,SR,SR-ATAD5,MCF7,20,100,1180,55,1125,764,1077,33,52,728,1027,103,416,3,22,98,397
paired_6h_24h,SR,SR-HSE,HA1E,20,100,697,43,654,469,631,26,41,442,595,66,228,2,17,59,212
paired_6h_24h,SR,SR-HSE,HT29,20,100,498,31,467,335,447,19,29,313,419,51,163,2,12,48,154
paired_6h_24h,SR,SR-HSE,MCF7,20,100,1065,62,1003,682,987,34,59,648,935,78,383,3,28,68,355
paired_6h_24h,SR,SR-MMP,HA1E,20,100,613,111,502,395,569,67,108,317,471,44,218,3,44,31,185
paired_6h_24h,SR,SR-MMP,HT29,20,100,430,61,369,280,395,38,57,238,343,35,150,4,23,26,131
paired_6h_24h,SR,SR-MMP,MCF7,20,100,947,141,806,604,892,89,135,512,765,55,343,6,52,41,294
paired_6h_24h,SR,SR-p53,HA1E,20,100,757,76,681,509,693,50,71,454,625,64,248,5,26,56,227
paired_6h_24h,SR,SR-p53,HT29,20,100,533,57,476,362,477,37,54,321,430,56,171,3,20,46,155
paired_6h_24h,SR,SR-p53,MCF7,20,100,1142,98,1044,735,1055,64,94,666,963,87,407,4,34,81,378
