family,task,cell_line,exposure_h,dose_window_uM,n_total_compounds,n_labeled,n_positive,n_negative,n_missing,positive_prevalence,confirmatory_active_count_eligible,analysis_status
NR,NR-AR,HA1E,6,8-12,1012,968,72,896,44,0.0743801652892562,True,confirmatory
NR,NR-AR-LBD,HA1E,6,8-12,1012,869,49,820,143,0.05638665132336018,True,confirmatory
NR,NR-AhR,HA1E,6,8-12,1012,849,102,747,163,0.12014134275618374,True,confirmatory
NR,NR-Aromatase,HA1E,6,8-12,1012,759,63,696,253,0.08300395256916997,True,confirmatory
NR,NR-ER,HA1E,6,8-12,1012,805,132,673,207,0.1639751552795031,True,confirmatory
NR,NR-ER-LBD,HA1E,6,8-12,1012,907,55,852,105,0.06063947078280044,True,confirmatory
NR,NR-PPAR-gamma,HA1E,6,8-12,1012,811,34,777,201,0.04192355117139334,True,confirmatory
SR,SR-ARE,HA1E,6,8-12,1012,690,136,554,322,0.19710144927536233,True,confirmatory
SR,SR-ATAD5,HA1E,6,8-12,1012,911,50,861,101,0.054884742041712405,True,confirmatory
SR,SR-HSE,HA1E,6,8-12,1012,814,52,762,198,0.06388206388206388,True,confirmatory
SR,SR-MMP,HA1E,6,8-12,1012,723,129,594,289,0.17842323651452283,True,confirmatory
SR,SR-p53,HA1E,6,8-12,1012,884,89,795,128,0.10067873303167421,True,confirmatory
NR,NR-AR,HEPG2,6,8-12,695,668,46,622,27,0.0688622754491018,True,confirmatory
NR,NR-AR-LBD,HEPG2,6,8-12,695,598,37,561,97,0.061872909698996656,True,confirmatory
NR,NR-AhR,HEPG2,6,8-12,695,585,65,520,110,0.1111111111111111,True,confirmatory
NR,NR-Aromatase,HEPG2,6,8-12,695,512,47,465,183,0.091796875,True,confirmatory
NR,NR-ER,HEPG2,6,8-12,695,540,92,448,155,0.17037037037037037,True,confirmatory
NR,NR-ER-LBD,HEPG2,6,8-12,695,620,39,581,75,0.06290322580645161,True,confirmatory
NR,NR-PPAR-gamma,HEPG2,6,8-12,695,552,19,533,143,0.034420289855072464,False,exploratory
SR,SR-ARE,HEPG2,6,8-12,695,451,98,353,244,0.21729490022172948,True,confirmatory
SR,SR-ATAD5,HEPG2,6,8-12,695,619,33,586,76,0.05331179321486268,True,confirmatory
SR,SR-HSE,HEPG2,6,8-12,695,547,30,517,148,0.054844606946983544,True,confirmatory
SR,SR-MMP,HEPG2,6,8-12,695,495,102,393,200,0.20606060606060606,True,confirmatory
SR,SR-p53,HEPG2,6,8-12,695,603,64,539,92,0.10613598673300166,True,confirmatory
NR,NR-AR,HT29,6,8-12,1005,960,72,888,45,0.075,True,confirmatory
NR,NR-AR-LBD,HT29,6,8-12,1005,862,47,815,143,0.054524361948955914,True,confirmatory
NR,NR-AhR,HT29,6,8-12,1005,841,95,746,164,0.11296076099881094,True,confirmatory
NR,NR-Aromatase,HT29,6,8-12,1005,758,63,695,247,0.08311345646437995,True,confirmatory
NR,NR-ER,HT29,6,8-12,1005,799,128,671,206,0.16020025031289112,True,confirmatory
NR,NR-ER-LBD,HT29,6,8-12,1005,902,53,849,103,0.058758314855875834,True,confirmatory
NR,NR-PPAR-gamma,HT29,6,8-12,1005,803,29,774,202,0.0361145703611457,True,confirmatory
SR,SR-ARE,HT29,6,8-12,1005,682,129,553,323,0.18914956011730205,True,confirmatory
SR,SR-ATAD5,HT29,6,8-12,1005,903,50,853,102,0.05537098560354374,True,confirmatory
SR,SR-HSE,HT29,6,8-12,1005,806,50,756,199,0.062034739454094295,True,confirmatory
SR,SR-MMP,HT29,6,8-12,1005,717,121,596,288,0.16875871687587168,True,confirmatory
SR,SR-p53,HT29,6,8-12,1005,877,85,792,128,0.09692132269099202,True,confirmatory
NR,NR-AR,MCF7,6,8-12,1332,1259,82,1177,73,0.06513105639396347,True,confirmatory
NR,NR-AR-LBD,MCF7,6,8-12,1332,1145,53,1092,187,0.0462882096069869,True,confirmatory
NR,NR-AhR,MCF7,6,8-12,1332,1111,112,999,221,0.10081008100810081,True,confirmatory
NR,NR-Aromatase,MCF7,6,8-12,1332,1021,76,945,311,0.07443682664054849,True,confirmatory
NR,NR-ER,MCF7,6,8-12,1332,1067,155,912,265,0.14526710402999063,True,confirmatory
NR,NR-ER-LBD,MCF7,6,8-12,1332,1194,61,1133,138,0.05108877721943048,True,confirmatory
NR,NR-PPAR-gamma,MCF7,6,8-12,1332,1073,34,1039,259,0.03168685927306617,True,confirmatory
SR,SR-ARE,MCF7,6,8-12,1332,923,160,763,409,0.1733477789815818,True,confirmatory
SR,SR-ATAD5,MCF7,6,8-12,1332,1196,57,1139,136,0.047658862876254184,True,confirmatory
SR,SR-HSE,MCF7,6,8-12,1332,1077,64,1013,255,0.059424326833797586,True,confirmatory
SR,SR-MMP,MCF7,6,8-12,1332,958,143,815,374,0.14926931106471816,True,confirmatory
SR,SR-p53,MCF7,6,8-12,1332,1158,100,1058,174,0.08635578583765112,True,confirmatory
