family,variant,task,cell,n_outer_folds,lambda_mode,lambda_log10_q1,lambda_log10_median,lambda_log10_q3,lambda_geometric_median,lambda_minimum,lambda_maximum,n_unique_lambda,one_se_stronger_n,one_se_stronger_pct,lower_boundary_n,lower_boundary_pct,upper_boundary_n,upper_boundary_pct,saturated_no_bio_signal_n,saturated_no_bio_signal_pct,all_final_fits_successful,lambda_selected_display
NR,residualized,NR-AR,HA1E,100,100000000.0,8.0,8.0,8.0,100000000.0,0.3162277660168379,100000000.0,4,92,92.0,0,0.0,96,96.0,88,88.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AR,HEPG2,100,100000000.0,8.0,8.0,8.0,100000000.0,100000000.0,100000000.0,1,26,26.0,0,0.0,100,100.0,26,26.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AR,HT29,100,100000000.0,8.0,8.0,8.0,100000000.0,100000000.0,100000000.0,1,62,62.0,0,0.0,100,100.0,62,62.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AR,MCF7,100,100000000.0,8.0,8.0,8.0,100000000.0,3.162277660168379,100000000.0,2,82,82.0,0,0.0,99,99.0,81,81.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AR-LBD,HA1E,100,100000000.0,8.0,8.0,8.0,100000000.0,10.0,100000000.0,2,72,72.0,0,0.0,98,98.0,70,70.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AR-LBD,HEPG2,100,100000000.0,8.0,8.0,8.0,100000000.0,1.0,100000000.0,3,74,74.0,0,0.0,98,98.0,72,72.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AR-LBD,HT29,100,100000000.0,8.0,8.0,8.0,100000000.0,1.0,100000000.0,3,97,97.0,0,0.0,98,98.0,95,95.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AR-LBD,MCF7,100,100000000.0,8.0,8.0,8.0,100000000.0,0.0999999999999999,100000000.0,6,97,97.0,0,0.0,87,87.0,85,85.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AhR,HA1E,100,100000000.0,8.0,8.0,8.0,100000000.0,1.0,100000000.0,4,88,88.0,0,0.0,95,95.0,83,83.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AhR,HEPG2,100,100000000.0,8.0,8.0,8.0,100000000.0,0.3162277660168379,100000000.0,6,95,95.0,0,0.0,88,88.0,86,86.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AhR,HT29,100,100000000.0,8.0,8.0,8.0,100000000.0,3.162277660168379,100000000.0,3,66,66.0,0,0.0,98,98.0,64,64.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-AhR,MCF7,100,100000000.0,8.0,8.0,8.0,100000000.0,0.3162277660168379,100000000.0,3,90,90.0,0,0.0,97,97.0,88,88.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-Aromatase,HA1E,100,100000000.0,6.5,8.0,8.0,100000000.0,0.3162277660168379,100000000.0,7,98,98.0,0,0.0,75,75.0,74,74.0,True,"1e+8 [3.16e+06, 1e+8]"
NR,residualized,NR-Aromatase,HEPG2,100,100000000.0,1.875,8.0,8.0,100000000.0,0.3162277660168379,100000000.0,7,96,96.0,0,0.0,74,74.0,71,71.0,True,"1e+8 [75, 1e+8]"
NR,residualized,NR-Aromatase,HT29,100,100000000.0,8.0,8.0,8.0,100000000.0,0.3162277660168379,100000000.0,5,94,94.0,0,0.0,86,86.0,81,81.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-Aromatase,MCF7,100,100000000.0,1.25,8.0,8.0,100000000.0,0.0999999999999999,100000000.0,6,98,98.0,0,0.0,74,74.0,75,75.0,True,"1e+8 [17.8, 1e+8]"
NR,residualized,NR-ER,HA1E,100,100000000.0,8.0,8.0,8.0,100000000.0,100000000.0,100000000.0,1,74,74.0,0,0.0,100,100.0,74,74.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-ER,HEPG2,100,100000000.0,8.0,8.0,8.0,100000000.0,100000000.0,100000000.0,1,48,48.0,0,0.0,100,100.0,48,48.0,True,"1e+8 [1e+8, 1e+8]"
NR,residualized,NR-ER,HT29,100,100000000.0,8.0,8.0,8.0,100000000.0,100.0,100000000.0,2,93,93.0,0,0.0,99,99.0,92,92.0,True,"1e+8 [1e+8, 1e+8]"
