family,task,analysis_cohort,tox21_protocol,tox21_assay_system,tox21_exposure_h,lincs_cell_line,lincs_exposure_h,cell_context_agreement,exposure_context_agreement,n_labeled_compounds,chem_term_off_auprc,delta_auprc,nb_ci_low,nb_ci_high,nominal_p_value,bh_q_value,positive_delta,nominal_significant_gain,bh_significant_gain,chem_bio_auprc,variant,representation,analysis,n_active_compounds
NR,NR-AR,Primary full 6-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,HA1E,6,No literal assay-cell match specified,Shorter,968,0.4605760418940873,0.0004307218858175,-0.0117500441829605,0.0126114879545956,0.944205028277692,1.0,True,False,False,0.4610067637799049,standardized,unadjusted,primary_6h_20x5,72
NR,NR-AR,Primary full 6-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,HEPG2,6,No literal assay-cell match specified,Shorter,668,0.5368775232288627,0.0,,,,1.0,False,False,False,0.5368775232288627,standardized,unadjusted,primary_6h_20x5,46
NR,NR-AR,Primary full 6-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,HT29,6,No literal assay-cell match specified,Shorter,960,0.45749012004264,0.0,,,,1.0,False,False,False,0.45749012004264,standardized,unadjusted,primary_6h_20x5,72
NR,NR-AR,Primary full 6-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,MCF7,6,No literal assay-cell match specified,Shorter,1259,0.4585578847978264,1.9713805375805e-05,-0.0001833558913325,0.0002227835020841,0.8476466200952134,1.0,True,False,False,0.4585775986032021,standardized,unadjusted,primary_6h_20x5,82
NR,NR-AR,Paired 6/24-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,HA1E,6,No literal assay-cell match specified,Shorter,830,0.4322698892056048,-0.0002381715282623,-0.0030312869533867,0.002554943896862,0.8659876997780238,0.99332933861613,False,False,False,0.4320317176773424,standardized,unadjusted,paired_6h_20x5,59
NR,NR-AR,Paired 6/24-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,HA1E,24,No literal assay-cell match specified,Longer,830,0.4322698892056048,-6.0061154902840005e-05,-0.0020008921997337,0.001880769889928,0.9511614361011572,1.0,False,False,False,0.4322098280507019,standardized,unadjusted,paired_24h_20x5,59
NR,NR-AR,Paired 6/24-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,HT29,6,No literal assay-cell match specified,Shorter,585,0.385077282261887,0.0,,,,1.0,False,False,False,0.385077282261887,standardized,unadjusted,paired_6h_20x5,44
NR,NR-AR,Paired 6/24-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,HT29,24,No literal assay-cell match specified,Longer,585,0.385077282261887,0.0,,,,1.0,False,False,False,0.385077282261887,standardized,unadjusted,paired_24h_20x5,44
NR,NR-AR,Paired 6/24-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,MCF7,6,No literal assay-cell match specified,Shorter,1243,0.4596904812794978,0.0,,,,1.0,False,False,False,0.4596904812794978,standardized,unadjusted,paired_6h_20x5,78
NR,NR-AR,Paired 6/24-h cohort,tox21-ar-mda-kb2-luc-agonist-p1,MDA-kb2 AR-luc,16.0,MCF7,24,No literal assay-cell match specified,Longer,1243,0.4596904812794978,0.0,,,,1.0,False,False,False,0.4596904812794978,standardized,unadjusted,paired_24h_20x5,78
